key,name,ramo,unidad,state,lat,lng,advance,monto_total_inversion,classification,ciclo,ejercido
6056130001,Adquisición mediante arrendamiento financiero de un edificio para las oficinas de la Cancillería,5,Dirección General de Bienes Inmuebles y Recursos Materiales,9,19.4338,-99.1444,100,1803712146,Gobierno,2017,79029762
3096500017,ACCESO AL API COATZACOALCOS,9,Centro SCT Veracruz,30,18.1186,-94.448,64.2,836198104,Comunicaciones y Transportes,2016,418969
5096450004,Badiraguato-Santiago de los Caballeros,9,Centro SCT Sinaloa,25,25.38543,-107.554235,76.15,794125439,Comunicaciones y Transportes,2017,24588654
5096400004,Amate Colorado - Zaragoza Itundujia,9,Centro SCT Oaxaca,20,16.968195,-97.912409,99.54,439686527,Comunicaciones y Transportes,2016,75258
5096400012,Km 89+000 E.C. (Mitla - Zacatepec) Santa María Yacochi - Totontepec Villa de Morelos - Límites del estado de Veracruz.,9,Centro SCT Oaxaca,20,18.5375,-96.6054,41.09,599400421,Comunicaciones y Transportes,2016,7784990
6096260007,Camino: E.C. ( Manzanillo - Minatitlán) Veladero de Camotlán - La Rosa - La Fundición,9,Centro SCT Colima,6,19.187352,-104.111151,24.24,127499730,Comunicaciones y Transportes,2016,0
6096270014,Villa Flores - Tonala,9,Centro SCT Chiapas,7,16.234516,-93.285433,9.68,374470781,Comunicaciones y Transportes,2017,0
5096520006,Guadalajarita - Yahualica Tr. Guadalajarita - Lim. Edos. Zac. / Jal.,9,Centro SCT Zacatecas,32,21.333542,-103.137467,85.79,172611395,Comunicaciones y Transportes,2017,18683982
6096470004,Cárdenas - Huimanguillo; carretera: Malpaso - El Bellote,9,Centro SCT Tabasco,27,17.975689,-93.375571,54,1186595950,Comunicaciones y Transportes,2017,1241104
7096270003,Crucero Tonina-Crucero Montelibano,9,Centro SCT Chiapas,7,16.887672,-92.014175,43.5,336400001,Comunicaciones y Transportes,2017,0
6096520021,El Plateado - Tabasco.,9,Centro SCT Zacatecas,32,21.864581,-102.925901,72.63,144546922,Comunicaciones y Transportes,2016,0
0609J3E0004,Desarrollo de la Zona de Actividades Logísticas,9,"Administración Portuaria Integral de Veracruz, S.A. de C.V.",30,19.22924444,-96.18182222,90.03,2063294005,Comunicaciones y Transportes,2017,71229181
7096220005,Libramiento de Ensenada,9,Centro SCT Baja California,2,31.904,-116.7249,34.04,4134820386,Comunicaciones y Transportes,2017,59769693
7096280001,Nonoava - Norogachi - Rocheachi - E.C. Creel - Guachochi,9,Centro SCT Chihuahua,8,27.478393,-106.744913,100,518746230,Comunicaciones y Transportes,2016,0
8096260006,San Antonio-Agua Salada-La Loma.,9,Centro SCT Colima,6,19.426961,-104.022875,89.27,101275831,Comunicaciones y Transportes,2016,12979941
8096280004,"Jiménez-Chihuahua, Tramo Delicias -Chihuahua",9,Centro SCT Chihuahua,8,28.289606,-105.496774,57.49,1514797547,Comunicaciones y Transportes,2017,67347312
8096330029,Ciudad Sahagún-Calpulalpan,9,Centro SCT Hidalgo,13,19.7758,-98.6813,38.68,652441284,Comunicaciones y Transportes,2017,130879388
8096330030,Portezuelo  Palmillas,9,Centro SCT Hidalgo,35,0,0,55.98,2226166470,Comunicaciones y Transportes,2017,199640140
8096440004,Cd. Valles-Chantol-Las Huertas.,9,Centro SCT San Luis Potosí,24,22.011342,-99.044489,100,276254650,Comunicaciones y Transportes,2016,306453
0809J2R0003,Ampliacion de Rompeolas del Puerto en 400.0 metros,9,"Administración Portuaria Integral de Ensenada, S.A. de C.V.",2,31.843801,-116.625471,10.48,574561589,Comunicaciones y Transportes,2016,0
9096270016,Monte Líbano  San José. Tramo: Monte Líbano  Perla de Acapulco (Km. 0+000 al Km. 23+000),9,Centro SCT Chiapas,7,16.906743,-91.624586,12.2,125032476,Comunicaciones y Transportes,2017,0
9096280005,"Escalón  Estación Carrillo, Tramo del Km. 0+000 al Km. 37+000",9,Centro SCT Chihuahua,8,26.747819,-104.33251,93.58,305025333,Comunicaciones y Transportes,2016,38097185
9096340017,Chimaltitán - Florencia.,9,Centro SCT Jalisco,14,21.78005556,-103.7799028,10.63,423868230,Comunicaciones y Transportes,2017,8815109
9096400017,San Pedro Mixtepec-Bajos de Chila,9,Centro SCT Oaxaca,20,15.918265,-97.123155,77.11,43403928,Comunicaciones y Transportes,2016,123303
9096420010,Ahuacatlán - Santa Águeda.,9,Centro SCT Querétaro,22,21.217735,-99.543125,92.31,125098586,Comunicaciones y Transportes,2016,0
11096340005,El Tuito-Melaque,9,Centro SCT Jalisco,14,20.3145,-105.322,40.52,3355500425,Comunicaciones y Transportes,2017,256355985
11096500005,"Tepetates  Llanillo, Km. 0+000 - 10+000",9,Centro SCT Veracruz,30,19.635342,-97.117278,94.67,37776600,Comunicaciones y Transportes,2017,483156
11096430003,Lázaro Cárdenas-Polyuc-Dziuche (Ruta Corta a Mérida incluye entradas y libramientos),9,Centro SCT Quintana Roo,23,18.9465,-88.1851,57.45,1691080386,Comunicaciones y Transportes,2017,43529989
11096310008,Carretera San Diego de la Unión-San Felipe.,9,Centro SCT Guanajuato,11,21.379,-100.9011,41.22,452091056,Comunicaciones y Transportes,2016,10210
11096360016,Zináparo - Angamacutiro,9,Centro SCT Michoacán,16,20.172492,-101.99249,15.5,169577333,Comunicaciones y Transportes,2016,6589394
11096360019,E.C. (Briseñas - Sahuayo) - E.C. (Pajacuaran - San  Gregorio),9,Centro SCT Michoacán,16,20.146747,-102.626814,55.1,32082198,Comunicaciones y Transportes,2017,0
11096310011,Modernización SDU-E.C. San Luis de la Paz-Dolores Hidalgo.,9,Centro SCT Guanajuato,11,21.4536,-100.8655,96.9,456488444,Comunicaciones y Transportes,2017,33796110
11096520026,Juancho Rey - El Venado.,9,Centro SCT Zacatecas,32,22.561418,-103.3203,18.53,82388970,Comunicaciones y Transportes,2017,0
11096450005,"Mocorito-San Benito, Tramo Km. 9+100 al 26+300",9,Centro SCT Sinaloa,25,25.457799,-107.848617,93.84,78880281,Comunicaciones y Transportes,2016,9508663
10096330027,San Bartolo Tutotepec-San Miguel,9,Centro SCT Hidalgo,13,20.402864,-98.224972,72.43,55371228,Comunicaciones y Transportes,2017,9925337
10096460005,Álamos  San Bernardo,9,Centro SCT Sonora,26,27.034268,-108.932797,45.32,186589291,Comunicaciones y Transportes,2016,0
11096270031,San Vicente - Santuario Dos - Santuario - Embarcadero.,9,Centro SCT Chiapas,7,16.196919,-92.339767,26.9,100257262,Comunicaciones y Transportes,2017,0
10096360021,E.C. (Cotija - La Lagunilla) - Plan del Cerro,9,Centro SCT Michoacán,16,19.807603,-102.739767,61.5,30832999,Comunicaciones y Transportes,2016,114780
10096360031,Atijo  Zárate,9,Centro SCT Michoacán,16,18.920062,-101.438068,13.79,247899900,Comunicaciones y Transportes,2017,0
10096390007,Reconstrucción de las Vialidades Morones Prieto y el Boulevard Constitución de la Ciudad de Monterrey.,9,Centro SCT Nuevo León,19,25.6679,-100.3681,99,1991176946,Comunicaciones y Transportes,2014,0
10096400016,E.C. (Tlaxiaco - San Juan Mixtepec) - Tres Cruces - San Pedro Yosoñama - San Juan Diquiyu,9,Centro SCT Oaxaca,20,17.348656,-97.760302,33.83,185006335,Comunicaciones y Transportes,2017,5105029
1112NCG0001,"Construcción de la Unidad de Radio Oncología en el INNSZ 2011 -2016.- con recursos del Fondo de Protección Contra Gastos Catastróficos, del Fideicomiso del Sistema de Protección Social en Salud y recursos fiscales y propios.",12,Instituto Nacional de Ciencias Médicas y Nutrición Salvador Zubirán,9,19.2879797,-99.15647015,85.81,254348563,Salud,2014,4062660
1016B000202,Construcción de la presa de almacenamiento Turuachi y zona de riego.,16,Comisión Nacional del Agua,8,26.125,-106.69722,3.69,71872643,"Agricultura, Ganadería, Desarrollo Rural, Pesca y Alimentación",2016,2363
1012NCG0006,"Redistribución, Ampliación y Equipamiento de las Áreas Críticas y de Hospitalización del INCMNSZ 2010-2016.",12,Instituto Nacional de Ciencias Médicas y Nutrición Salvador Zubirán,9,19.2871869,-99.1705253,98.96,260826543,Salud,2016,2087858
0316B000230,Integración de oficinas centrales de la CNA,16,Comisión Nacional del Agua,9,19.3333,-99.2,56.81,2487728039,Medio Ambiente,2017,15775966
1109J3E0008,Nueva aduana del Puerto de Veracruz,9,"Administración Portuaria Integral de Veracruz, S.A. de C.V.",30,19.22728547,-96.18336674,19.01,1067296160,Comunicaciones y Transportes,2017,22890966
8096320004,Camino: Puerto del Gallo-Cruz de Ocote-Filo de Caballos,9,Centro SCT Guerrero,12,17.485287,-100.191823,10.62,383886420,Comunicaciones y Transportes,2016,216797
9096270014,Belisario Domínguez-Bandera Manacal.,9,Centro SCT Chiapas,7,15.29788,-92.386454,30.73,106810873,Comunicaciones y Transportes,2017,0
0321W3N0157,Programa de obras y servicios del CIP Nayarit.,21,Fondo Nacional de Fomento al Turismo,18,20.791626,-105.486327,37.69,4279959102,Turismo,2017,23663526
0821W3N0028,Centro Integralmente Planeado Costa del Pacífico,21,Fondo Nacional de Fomento al Turismo,25,22.7927,-105.967,2.2,6754285006,Turismo,2017,109220300
1021W3N0014,Sustitución de Carpeta Asfáltica del Boulevard Kukulcán,21,Fondo Nacional de Fomento al Turismo,23,21.084,-86.7741,100,23699943,Turismo,2013,67359
12096260006,Pez Vela - Jalipa,9,Centro SCT Colima,6,19.08004,-104.2858,98,809140360,Comunicaciones y Transportes,2015,22317111
