ID_PPI,ID_PP,DESC_PP
001 02 001,52K002,Proyectos de infraestructura económica de hidrocarburos
'018 01 016,52K002,Proyectos de infraestructura económica de hidrocarburos
'020 96 020,52K002,Proyectos de infraestructura económica de hidrocarburos
'021 96 021,52K002,Proyectos de infraestructura económica de hidrocarburos
'0218T0O0001,18K010,Proyectos de infraestructura social de ciencia y tecnología
'0218T4L0039,52K002,Proyectos de infraestructura económica de hidrocarburos
'02204120009,20K025,Proyectos de inmuebles (oficinas administrativas)
'0306HJO0014,06F035,Programa de Inclusión Financiera
'03096460040,09K003,Proyectos de construcción de carreteras
'03096460040,09K048,Servicios relacionados para la liberación del derecho de vía
'03096500017,09K003,Proyectos de construcción de carreteras
'0309J2Y0002,09K004,Proyectos de construcción de puertos
'0309J2Y0030,09K004,Proyectos de construcción de puertos
'0309J3A0002,09K004,Proyectos de construcción de puertos
'0310K2N0002,10K024,Otros proyectos de infraestructura gubernamental
'0310K8V0014,10K025,Proyectos de inmuebles (oficinas administrativas)
'03121100001,12K011,Proyectos de infraestructura social de salud
'0312NBG0001,12K011,Proyectos de infraestructura social de salud
'0316B000035,16K141,Infraestructura para la modernización y rehabilitación de riego y temporal tecnificado
'0316B000037,16K141,Infraestructura para la modernización y rehabilitación de riego y temporal tecnificado
'0316B000058,16K141,Infraestructura para la modernización y rehabilitación de riego y temporal tecnificado
'0316B000201,16K141,Infraestructura para la modernización y rehabilitación de riego y temporal tecnificado
'0316B000221,16K141,Infraestructura para la modernización y rehabilitación de riego y temporal tecnificado
'0316B000230,16K025,Proyectos de inmuebles (oficinas administrativas)
'0318T4M0060,52K030,Otros proyectos de infraestructura
'0318T4M0090,52K002,Proyectos de infraestructura económica de hidrocarburos
'0318T4M0093,52K002,Proyectos de infraestructura económica de hidrocarburos
'0318T4M0094,52K002,Proyectos de infraestructura económica de hidrocarburos
'0318T4M0100,52K002,Proyectos de infraestructura económica de hidrocarburos
'0318T4M0119,52K002,Proyectos de infraestructura económica de hidrocarburos
'0318T4N0023,52K027,Mantenimiento de infraestructura
'0318T4N0034,52K002,Proyectos de infraestructura económica de hidrocarburos
'0318T4N0037,52K002,Proyectos de infraestructura económica de hidrocarburos
'0321W3N0121,21K021,Proyectos de infraestructura de turismo
'0321W3N0127,21K021,Proyectos de infraestructura de turismo
'0321W3N0129,21K021,Proyectos de infraestructura de turismo
'0321W3N0149,21K025,Proyectos de inmuebles (oficinas administrativas)
'0321W3N0157,21K021,Proyectos de infraestructura de turismo
'038 98 038,52K002,Proyectos de infraestructura económica de hidrocarburos
'039 98 039,52K002,Proyectos de infraestructura económica de hidrocarburos
'04096500001,09K003,Proyectos de construcción de carreteras
'04096500001,09K048,Servicios relacionados para la liberación del derecho de vía
'0418T4M0012,52K002,Proyectos de infraestructura económica de hidrocarburos
'0418T4O0002,52K030,Otros proyectos de infraestructura
'0418T4Q0004,52K027,Mantenimiento de infraestructura
'0418T4T0004,52K027,Mantenimiento de infraestructura
'0418T4T0005,52K002,Proyectos de infraestructura económica de hidrocarburos
'0418TZZ0001,52K002,Proyectos de infraestructura económica de hidrocarburos
'0427A000004,27K024,Otros proyectos de infraestructura gubernamental
'05096270002,09K031,Proyectos de construcción de carreteras alimentadoras y caminos rurales
'05096270003,09K031,Proyectos de construcción de carreteras alimentadoras y caminos rurales
'05096270006,09K031,Proyectos de construcción de carreteras alimentadoras y caminos rurales
'05096270009,09K031,Proyectos de construcción de carreteras alimentadoras y caminos rurales
'05096270014,09K031,Proyectos de construcción de carreteras alimentadoras y caminos rurales
'05096270015,09K031,Proyectos de construcción de carreteras alimentadoras y caminos rurales
'05096270024,09K031,Proyectos de construcción de carreteras alimentadoras y caminos rurales
'05096300002,09K031,Proyectos de construcción de carreteras alimentadoras y caminos rurales
'05096300003,09K031,Proyectos de construcción de carreteras alimentadoras y caminos rurales
'05096310003,09K031,Proyectos de construcción de carreteras alimentadoras y caminos rurales
'05096320001,09K003,Proyectos de construcción de carreteras
'05096320001,09K048,Servicios relacionados para la liberación del derecho de vía
'05096320004,09K003,Proyectos de construcción de carreteras
'05096320013,09K031,Proyectos de construcción de carreteras alimentadoras y caminos rurales
'05096320020,09K031,Proyectos de construcción de carreteras alimentadoras y caminos rurales
'05096320036,09K031,Proyectos de construcción de carreteras alimentadoras y caminos rurales
'05096330012,09K031,Proyectos de construcción de carreteras alimentadoras y caminos rurales
'05096330026,09K031,Proyectos de construcción de carreteras alimentadoras y caminos rurales
'05096340009,09K031,Proyectos de construcción de carreteras alimentadoras y caminos rurales
'05096350001,09K003,Proyectos de construcción de carreteras
'05096350001,09K048,Servicios relacionados para la liberación del derecho de vía
'05096350006,09K003,Proyectos de construcción de carreteras
'05096350006,09K048,Servicios relacionados para la liberación del derecho de vía
'05096380001,09K031,Proyectos de construcción de carreteras alimentadoras y caminos rurales
'05096390002,09K003,Proyectos de construcción de carreteras
'05096390010,09K031,Proyectos de construcción de carreteras alimentadoras y caminos rurales
'05096390016,09K031,Proyectos de construcción de carreteras alimentadoras y caminos rurales
'05096400004,09K031,Proyectos de construcción de carreteras alimentadoras y caminos rurales
'05096400010,09K031,Proyectos de construcción de carreteras alimentadoras y caminos rurales
'05096400011,09K031,Proyectos de construcción de carreteras alimentadoras y caminos rurales
'05096400012,09K031,Proyectos de construcción de carreteras alimentadoras y caminos rurales
'05096400014,09K031,Proyectos de construcción de carreteras alimentadoras y caminos rurales
'05096400019,09K031,Proyectos de construcción de carreteras alimentadoras y caminos rurales
'05096400025,09K031,Proyectos de construcción de carreteras alimentadoras y caminos rurales
'05096400027,09K003,Proyectos de construcción de carreteras
'05096400027,09K048,Servicios relacionados para la liberación del derecho de vía
'05096400030,09K031,Proyectos de construcción de carreteras alimentadoras y caminos rurales
'05096400032,09K031,Proyectos de construcción de carreteras alimentadoras y caminos rurales
'05096410014,09K031,Proyectos de construcción de carreteras alimentadoras y caminos rurales
'05096420011,09K031,Proyectos de construcción de carreteras alimentadoras y caminos rurales
'05096450004,09K031,Proyectos de construcción de carreteras alimentadoras y caminos rurales
'05096480002,09K003,Proyectos de construcción de carreteras
'05096480002,09K048,Servicios relacionados para la liberación del derecho de vía
'05096520006,09K031,Proyectos de construcción de carreteras alimentadoras y caminos rurales
'05096520011,09K031,Proyectos de construcción de carreteras alimentadoras y caminos rurales
'0512S000001,12K025,Proyectos de inmuebles (oficinas administrativas)
'0516B000103,16K141,Infraestructura para la modernización y rehabilitación de riego y temporal tecnificado
'0518T4I0001,52K011,Proyectos de infraestructura social de salud
'0518T4M0006,52K002,Proyectos de infraestructura económica de hidrocarburos
'0518T4M0007,52K002,Proyectos de infraestructura económica de hidrocarburos
'0518T4M0010,52K002,Proyectos de infraestructura económica de hidrocarburos
'0518T4Q0002,52K027,Mantenimiento de infraestructura
'0518T4Q0004,52K027,Mantenimiento de infraestructura
'0518TZZ0001,52K002,Proyectos de infraestructura económica de hidrocarburos
'06056130001,05K025,Proyectos de inmuebles (oficinas administrativas)
'06096220004,09K003,Proyectos de construcción de carreteras
'06096220004,09K048,Servicios relacionados para la liberación del derecho de vía
'06096260007,09K031,Proyectos de construcción de carreteras alimentadoras y caminos rurales
'06096270005,09K031,Proyectos de construcción de carreteras alimentadoras y caminos rurales
'06096270013,09K003,Proyectos de construcción de carreteras
'06096270014,09K031,Proyectos de construcción de carreteras alimentadoras y caminos rurales
'06096280001,09K003,Proyectos de construcción de carreteras
'06096280001,09K048,Servicios relacionados para la liberación del derecho de vía
'06096300001,09K031,Proyectos de construcción de carreteras alimentadoras y caminos rurales
'06096320008,09K031,Proyectos de construcción de carreteras alimentadoras y caminos rurales
'06096340002,09K031,Proyectos de construcción de carreteras alimentadoras y caminos rurales
'06096340008,09K031,Proyectos de construcción de carreteras alimentadoras y caminos rurales
'06096340009,09K003,Proyectos de construcción de carreteras
'06096390005,09K031,Proyectos de construcción de carreteras alimentadoras y caminos rurales
'06096390007,09K031,Proyectos de construcción de carreteras alimentadoras y caminos rurales
'06096400002,09K031,Proyectos de construcción de carreteras alimentadoras y caminos rurales
'06096410025,09K003,Proyectos de construcción de carreteras
'06096410025,09K048,Servicios relacionados para la liberación del derecho de vía
'06096420001,09K031,Proyectos de construcción de carreteras alimentadoras y caminos rurales
'06096470004,09K003,Proyectos de construcción de carreteras
'06096470004,09K048,Servicios relacionados para la liberación del derecho de vía
'06096470005,09K003,Proyectos de construcción de carreteras
'06096470005,09K048,Servicios relacionados para la liberación del derecho de vía
'06096520017,09K031,Proyectos de construcción de carreteras alimentadoras y caminos rurales
'06096520021,09K031,Proyectos de construcción de carreteras alimentadoras y caminos rurales
'0609J3E0004,09K004,Proyectos de construcción de puertos
'0609J3E0005,09K004,Proyectos de construcción de puertos
'06125120002,12K025,Proyectos de inmuebles (oficinas administrativas)
'06125120003,12K025,Proyectos de inmuebles (oficinas administrativas)
'06125120004,12K025,Proyectos de inmuebles (oficinas administrativas)
'0616B000034,16K007,"Infraestructura de agua potable, alcantarillado y saneamiento"
'0616B000038,16K007,"Infraestructura de agua potable, alcantarillado y saneamiento"
'0618T4M0001,52K028,Estudios de preinversión
'0618T4M0003,52K028,Estudios de preinversión
'0618T4M0007,52K002,Proyectos de infraestructura económica de hidrocarburos
'0618T4N0018,52K027,Mantenimiento de infraestructura
'0618T4N0021,52K027,Mantenimiento de infraestructura
'0618T4O0002,52K002,Proyectos de infraestructura económica de hidrocarburos
'0618TZZ0001,52K002,Proyectos de infraestructura económica de hidrocarburos
'0618TZZ0004,52K002,Proyectos de infraestructura económica de hidrocarburos
'06321100002,32K025,Proyectos de inmuebles (oficinas administrativas)
'069 98 069,52K002,Proyectos de infraestructura económica de hidrocarburos
'0704K000001,04K027,Mantenimiento de infraestructura
'0706G2T0001,06B004,Producción y comercialización de monedas
'07071320002,07A003,Operación y desarrollo de la Fuerza Aérea Mexicana
'07096220001,09K003,Proyectos de construcción de carreteras
'07096220001,09K048,Servicios relacionados para la liberación del derecho de vía
'07096220005,09K003,Proyectos de construcción de carreteras
'07096220005,09K048,Servicios relacionados para la liberación del derecho de vía
'07096230004,09K003,Proyectos de construcción de carreteras
'07096230004,09K048,Servicios relacionados para la liberación del derecho de vía
'07096260008,09K003,Proyectos de construcción de carreteras
'07096260008,09K048,Servicios relacionados para la liberación del derecho de vía
'07096270002,09K031,Proyectos de construcción de carreteras alimentadoras y caminos rurales
'07096270003,09K031,Proyectos de construcción de carreteras alimentadoras y caminos rurales
'07096270008,09K031,Proyectos de construcción de carreteras alimentadoras y caminos rurales
'07096270012,09K031,Proyectos de construcción de carreteras alimentadoras y caminos rurales
'07096270023,09K031,Proyectos de construcción de carreteras alimentadoras y caminos rurales
'07096280001,09K031,Proyectos de construcción de carreteras alimentadoras y caminos rurales
'07096320010,09K031,Proyectos de construcción de carreteras alimentadoras y caminos rurales
'07096320014,09K031,Proyectos de construcción de carreteras alimentadoras y caminos rurales
'07096320022,09K031,Proyectos de construcción de carreteras alimentadoras y caminos rurales
'07096330006,09K031,Proyectos de construcción de carreteras alimentadoras y caminos rurales
'07096330011,09K031,Proyectos de construcción de carreteras alimentadoras y caminos rurales
'07096400004,09K031,Proyectos de construcción de carreteras alimentadoras y caminos rurales
'07096400017,09K031,Proyectos de construcción de carreteras alimentadoras y caminos rurales
'07096400018,09K031,Proyectos de construcción de carreteras alimentadoras y caminos rurales
'07096440001,09K031,Proyectos de construcción de carreteras alimentadoras y caminos rurales
'07096450009,09K031,Proyectos de construcción de carreteras alimentadoras y caminos rurales
'07096450010,09K031,Proyectos de construcción de carreteras alimentadoras y caminos rurales
'07096480003,09K031,Proyectos de construcción de carreteras alimentadoras y caminos rurales
'07096500001,09K031,Proyectos de construcción de carreteras alimentadoras y caminos rurales
'07096500002,09K031,Proyectos de construcción de carreteras alimentadoras y caminos rurales
'07096500007,09K031,Proyectos de construcción de carreteras alimentadoras y caminos rurales
'07096500010,09K031,Proyectos de construcción de carreteras alimentadoras y caminos rurales
'07096520010,09K003,Proyectos de construcción de carreteras
'07096520010,09K048,Servicios relacionados para la liberación del derecho de vía
'07096520011,09K031,Proyectos de construcción de carreteras alimentadoras y caminos rurales
'07115130004,11K009,Proyectos de infraestructura social del sector educativo
'0712NBD0006,12K011,Proyectos de infraestructura social de salud
'0712NCD0009,12K011,Proyectos de infraestructura social de salud
'0712NEF0001,12K011,Proyectos de infraestructura social de salud
'0718T4M0001,52K002,Proyectos de infraestructura económica de hidrocarburos
'0718T4M0005,52K002,Proyectos de infraestructura económica de hidrocarburos
'0718T4N0002,52K030,Otros proyectos de infraestructura
'0718T4N0004,52K027,Mantenimiento de infraestructura
'0718T4O0024,52K002,Proyectos de infraestructura económica de hidrocarburos
'0718T4O0034,52K027,Mantenimiento de infraestructura
'0718T4O0041,52K027,Mantenimiento de infraestructura
