SECTOR,ID_PASO_EITI,CICLO,PERIODO,TIPO_PROYECTO,ID_PROYECTO,NOMBRE_PROYECTO,ID_ENTIDAD_FEDERATIVA,ENTIDAD,ID_MUNICIPIO,MUNICIPIO,ID_LOCALIDAD,LOCALIDAD,LATITUD,LONGITUD,DIRECCION,ID_RECURSO,RECURSO,INSTITUCION_EJECUTORA,ID_CLASIFICACION,CLASIFICACION,BENEFICIARIOS,POBLACION_ANUAL,DESC_ESTATUS,DETALLE_ESTATUS,INICIO,TERMINO,ID_RAMO,DESC_RAMO,CLAVE_PROGRAMA_PRESUPUESTARIO,PROGRAMA_PRESUPUESTARIO,ID_CONCURRENCIA_DE_RECURSOS,CONCURRENCIA,AUTORIZADO,MODIFICADO,MINISTRADO,COMPROMETIDO,DEVENGADO,EJERCIDO,PAGADO,AVANCE_FINANCIERO,AVANCE_ESTIMADO_ANUAL,AVANCE_FISICO,UNIDAD_MEDIDA,FECHA_PUBLICACION,FECHA_MODIFICACION,FUENTE_INFORMACION,CONTACTO_INFORMACION
Minería,5,2017,Tercer Trimestre,Gubernamental,COA16160300745379,Pavimentacion Con Concreto Hidraulico Al Panteon  Municipal En Villa De San Jose Cloete. (1a. Etapa) En El Municipio De Sabinas Coahuila.,5,Coahuila de Zaragoza,28,Sabinas,,,,,-,4,Fideicomisos,SECRETARIA DE INFRAESTRUCTURA Y TRANSPORTE,3,Transportes y vialidades,MEJORAMIENTO DE VIALIDADES,60847,En Ejecución,,27/10/2016,,15,"Desarrollo Agrario, Territorial y Urbano",M001,Actividades de apoyo administrativo,0,,1118037,1118037,1118037,1118037,858900.36,858900.36,418387.31,76.82,0,67,Metros Cuadrados,Trimestral,3 Semanas Mes y Medio despues de terminado el trimestre,Unidad de Evaluación del Desempeño,Transparecencia Presupuestaria trans_presupuestaria@hacienda.gob.mx
Minería,5,2017,Tercer Trimestre,Gubernamental,COA17170100832345,Construcción De Unidad Deportiva En Zaragoza,5,Coahuila de Zaragoza,38,Zaragoza,,,,,-,4,Fideicomisos,SECRETARIA DE INFRAESTRUCTURA Y TRANSPORTE,8,Deporte,CREAR AREAS DEPORTIVAS,1500,En Ejecución,,03/03/2017,,15,"Desarrollo Agrario, Territorial y Urbano",M001,Actividades de apoyo administrativo,0,,3300000,3300000,3300000,3274871.06,1632786.4,1632786.4,982461.32,49.48,0,35,Otros,Trimestral,3 Semanas Mes y Medio despues de terminado el trimestre,Unidad de Evaluación del Desempeño,Transparecencia Presupuestaria trans_presupuestaria@hacienda.gob.mx
Minería,5,2017,Tercer Trimestre,Gubernamental,COA17170100832379,Construcción De Unidad Deportiva En Minas De Barroteran (Estacion Barroteran),5,Coahuila de Zaragoza,20,Múzquiz,,,,,-,4,Fideicomisos,SECRETARIA DE INFRAESTRUCTURA Y TRANSPORTE,8,Deporte,CREAR AREAS DEPORTIVAS,1000,En Ejecución,,03/03/2017,,15,"Desarrollo Agrario, Territorial y Urbano",M001,Actividades de apoyo administrativo,0,,3300000,3300000,3300000,3274871.06,982461.32,982461.32,982461.32,29.77,0,0,Otros,Trimestral,3 Semanas Mes y Medio despues de terminado el trimestre,Unidad de Evaluación del Desempeño,Transparecencia Presupuestaria trans_presupuestaria@hacienda.gob.mx
Minería,5,2017,Tercer Trimestre,Gubernamental,COA17170100832772,Rehabilitación De La Unidad Deportiva En Nueva Rosita,5,Coahuila de Zaragoza,32,San Juan de Sabinas,,,,,-,4,Fideicomisos,SECRETARIA DE INFRAESTRUCTURA Y TRANSPORTE,3,Transportes y vialidades,DOTAR ESPACIOS DEPORTIVOS,1500,En Ejecución,,16/03/2017,,15,"Desarrollo Agrario, Territorial y Urbano",M001,Actividades de apoyo administrativo,0,,4000000,4000000,4000000,3660948.71,3660948.71,3660948.71,2533690.29,91.52,0,100,Otros,Trimestral,3 Semanas Mes y Medio despues de terminado el trimestre,Unidad de Evaluación del Desempeño,Transparecencia Presupuestaria trans_presupuestaria@hacienda.gob.mx
Minería,5,2017,Tercer Trimestre,Gubernamental,COA17170100832347,Rehabilitacion De Unidad Deportiva En Nava,5,Coahuila de Zaragoza,22,Nava,,,,,-,4,Fideicomisos,SECRETARIA DE INFRAESTRUCTURA Y TRANSPORTE,8,Deporte,CREAR AREAS DEPORTIVAS,27928,En Ejecución,,03/03/2017,,15,"Desarrollo Agrario, Territorial y Urbano",M001,Actividades de apoyo administrativo,0,,3300000,3300000,3300000,3295523.24,988657.35,988657.35,988657.35,29.96,0,0,Otros,Trimestral,3 Semanas Mes y Medio despues de terminado el trimestre,Unidad de Evaluación del Desempeño,Transparecencia Presupuestaria trans_presupuestaria@hacienda.gob.mx
Minería,5,2017,Tercer Trimestre,Gubernamental,COA17170100832383,Construcción De Unidad Deportiva En José Maria Morelos,5,Coahuila de Zaragoza,17,Matamoros,,,,,-,4,Fideicomisos,SECRETARIA DE INFRAESTRUCTURA Y TRANSPORTE,8,Deporte,CREAR AREAS DEPORTIVAS,1000,En Ejecución,,03/03/2017,,15,"Desarrollo Agrario, Territorial y Urbano",M001,Actividades de apoyo administrativo,0,,4000000,3300000,3300000,3297959.82,989387.94,989387.94,989387.94,29.98,0,0,Otros,Trimestral,3 Semanas Mes y Medio despues de terminado el trimestre,Unidad de Evaluación del Desempeño,Transparecencia Presupuestaria trans_presupuestaria@hacienda.gob.mx
Minería,5,2017,Tercer Trimestre,Gubernamental,COA17170100832384,Pavimentacion De Concreto Hidraulico De La Calle Acceso A Panteon En La Villa De San Jose De Cloete (2a. Etapa),5,Coahuila de Zaragoza,28,Sabinas,,,,,-,4,Fideicomisos,SECRETARIA DE INFRAESTRUCTURA Y TRANSPORTE,3,Transportes y vialidades,MEJORAMIENTO DE VIALIDADES,60847,En Ejecución,,03/03/2017,,15,"Desarrollo Agrario, Territorial y Urbano",M001,Actividades de apoyo administrativo,0,,4778000,4778000,4778000,4650973.42,1395292.02,1395292.02,1395292.02,29.2,0,0,Otros,Trimestral,3 Semanas Mes y Medio despues de terminado el trimestre,Unidad de Evaluación del Desempeño,Transparecencia Presupuestaria trans_presupuestaria@hacienda.gob.mx
Minería,5,2017,Tercer Trimestre,Gubernamental,COA17170100832343,Construcción De Unidad Deportiva En La Localidad De San Carlos,5,Coahuila de Zaragoza,14,Jiménez,,,,,-,4,Fideicomisos,SECRETARIA DE INFRAESTRUCTURA Y TRANSPORTE,8,Deporte,CREACION DE ARES DEPORTIVAS,1000,En Ejecución,,03/03/2017,,15,"Desarrollo Agrario, Territorial y Urbano",M001,Actividades de apoyo administrativo,0,,3300000,3300000,3300000,3295396.98,988619.09,988619.09,988619.09,29.96,0,37,Otros,Trimestral,3 Semanas Mes y Medio despues de terminado el trimestre,Unidad de Evaluación del Desempeño,Transparecencia Presupuestaria trans_presupuestaria@hacienda.gob.mx
Minería,5,2017,Tercer Trimestre,Gubernamental,COA17170100832353,Construccion De La Unidad Deportiva En Viesca,5,Coahuila de Zaragoza,36,Viesca,,,,,-,4,Fideicomisos,SECRETARIA DE INFRAESTRUCTURA Y TRANSPORTE,8,Deporte,CREAR AREAS DEPORTIVAS,1000,En Ejecución,,03/03/2017,,15,"Desarrollo Agrario, Territorial y Urbano",M001,Actividades de apoyo administrativo,0,,3300000,3300000,3300000,3298324.25,1402407.12,1402402.12,1402402.12,42.5,0,24,Otros,Trimestral,3 Semanas Mes y Medio despues de terminado el trimestre,Unidad de Evaluación del Desempeño,Transparecencia Presupuestaria trans_presupuestaria@hacienda.gob.mx
Minería,5,2017,Tercer Trimestre,Gubernamental,COA17170100832360,Construcción De Unidad Deportiva En Boquillas Las Perlas,5,Coahuila de Zaragoza,36,Viesca,,,,,-,4,Fideicomisos,SECRETARIA DE INFRAESTRUCTURA Y TRANSPORTE,8,Deporte,CREAR AREAS DEPORTIVAS,500,En Ejecución,,03/03/2017,,15,"Desarrollo Agrario, Territorial y Urbano",M001,Actividades de apoyo administrativo,0,,3300000,3300000,3300000,3298324.25,1410621.24,1410621.24,1410621.24,42.75,0,29,Otros,Trimestral,3 Semanas Mes y Medio despues de terminado el trimestre,Unidad de Evaluación del Desempeño,Transparecencia Presupuestaria trans_presupuestaria@hacienda.gob.mx
Minería,5,2017,Tercer Trimestre,Gubernamental,COA17170100832366,Construcción De Unidad Deportiva,5,Coahuila de Zaragoza,23,Ocampo,,,,,-,4,Fideicomisos,SECRETARIA DE INFRAESTRUCTURA Y TRANSPORTE,8,Deporte,CREAR AREAS DEPORTIVAS,1000,En Ejecución,,03/03/2017,,15,"Desarrollo Agrario, Territorial y Urbano",M001,Actividades de apoyo administrativo,0,,3300000,3300000,3300000,3298223.06,989466.98,989466.98,989466.98,29.98,0,30,Otros,Trimestral,3 Semanas Mes y Medio despues de terminado el trimestre,Unidad de Evaluación del Desempeño,Transparecencia Presupuestaria trans_presupuestaria@hacienda.gob.mx
Minería,5,2017,Tercer Trimestre,Gubernamental,COA17170100832370,Construcción De Unidad Deportiva,5,Coahuila de Zaragoza,6,Castaños,,,,,-,4,Fideicomisos,SECRETARIA DE INFRAESTRUCTURA Y TRANSPORTE,8,Deporte,CREAR AREAS DEPORTIVAS,1000,En Ejecución,,03/03/2017,,15,"Desarrollo Agrario, Territorial y Urbano",M001,Actividades de apoyo administrativo,0,,3300000,3300000,3300000,3293705.29,988111.59,988111.59,988111.59,29.94,0,0,Otros,Trimestral,3 Semanas Mes y Medio despues de terminado el trimestre,Unidad de Evaluación del Desempeño,Transparecencia Presupuestaria trans_presupuestaria@hacienda.gob.mx
Minería,5,2017,Tercer Trimestre,Gubernamental,COA17170100832381,Construcción De Cancha De Futbol Con Pasto Sintetico,5,Coahuila de Zaragoza,28,Sabinas,,,,,-,4,Fideicomisos,SECRETARIA DE INFRAESTRUCTURA Y TRANSPORTE,8,Deporte,CREAR AREAS DEPORTIVAS,2000,En Ejecución,,03/03/2017,,15,"Desarrollo Agrario, Territorial y Urbano",M001,Actividades de apoyo administrativo,0,,4000000,4000000,4000000,3590307.32,2213272.65,2213272.65,1813659.84,55.33,0,0,Otros,Trimestral,3 Semanas Mes y Medio despues de terminado el trimestre,Unidad de Evaluación del Desempeño,Transparecencia Presupuestaria trans_presupuestaria@hacienda.gob.mx
Minería,5,2017,Tercer Trimestre,Gubernamental,CHH15170100839234,"Remodelacion De 7 Aulas Y Un Modulo De Baños En El Jardin De Niños""Cuahutèmoc "" En La Localidad De Ciudad Juarez",8,Chihuahua,37,Juárez,,,,,DIRECCION GENERAL DE OBRAS PUBLICAS,4,Fideicomisos,"MUNICIPIO DE JUAREZ, CHIHUAHUA",2,Educación,BRINDAR A LOS NIÑOS DE LA COLONIA CUAHUTEMOC MEJORES INSTALACIONES Y MAYOR SEGURIDAD EN SU PLANTEL,147,En Ejecución,,15/09/2016,01/11/2016,15,"Desarrollo Agrario, Territorial y Urbano",M001,Actividades de apoyo administrativo,3,Coparticipación Federal-Municipal,1356817.57,1356817.56,1354007.94,1354007.94,1354007.94,1354007.94,1354007.94,99.79,0,100,Metros Cuadrados,Trimestral,3 Semanas Mes y Medio despues de terminado el trimestre,Unidad de Evaluación del Desempeño,Transparecencia Presupuestaria trans_presupuestaria@hacienda.gob.mx
Minería,5,2017,Tercer Trimestre,Gubernamental,SIN14170200891104,Construccion De Los Servicios Sanitarios En Jardin De Niños Francisco Verdugo Falquez,25,Sinaloa,6,Culiacán,707,Las Tapias,24.65,-107.155833,-,4,Fideicomisos,DIRECCION DE OBRAS PUBLICAS,2,Educación,,,En Ejecución,,15/09/2016,01/12/2016,15,"Desarrollo Agrario, Territorial y Urbano",M001,Actividades de apoyo administrativo,3,Coparticipación Federal-Municipal,264251,,,,,,,,,,,Trimestral,3 Semanas Mes y Medio despues de terminado el trimestre,Unidad de Evaluación del Desempeño,Transparecencia Presupuestaria trans_presupuestaria@hacienda.gob.mx
Minería,5,2017,Tercer Trimestre,Gubernamental,SIN17170200891116,Construccion De Cerca De Malla Ciclonica En Jardin De Niños Francisco Verdugo Falquez,25,Sinaloa,6,Culiacán,707,Las Tapias,24.65,-107.155833,-,4,Fideicomisos,DIRECCION DE OBRAS PUBLICAS,2,Educación,,,En Ejecución,,25/08/2016,01/09/2016,15,"Desarrollo Agrario, Territorial y Urbano",M001,Actividades de apoyo administrativo,3,Coparticipación Federal-Municipal,77366,,,,,,,,,,,Trimestral,3 Semanas Mes y Medio despues de terminado el trimestre,Unidad de Evaluación del Desempeño,Transparecencia Presupuestaria trans_presupuestaria@hacienda.gob.mx
