FECHA_EVENTO,ID_ENTIDAD_FEDERATIVA,ENTIDAD_FEDERATIVA,ID_MUNICIPIO,MUNICIPIO,DECLARATORIA_DESASTRE,MAGNITUD_SISMO
07/09/2017,7,Chiapas,1,Acacoyagua,Sí,8.2
07/09/2017,7,Chiapas,2,Acala,Sí,8.2
07/09/2017,7,Chiapas,3,Acapetahua,Sí,8.2
07/09/2017,7,Chiapas,4,Altamirano,Sí,8.2
07/09/2017,7,Chiapas,5,Amatán,Sí,8.2
07/09/2017,7,Chiapas,6,Amatenango de la Frontera,Sí,8.2
07/09/2017,7,Chiapas,7,Amatenango del Valle,Sí,8.2
07/09/2017,7,Chiapas,8,Angel Albino Corzo,Sí,8.2
07/09/2017,7,Chiapas,9,Arriaga,Sí,8.2
07/09/2017,7,Chiapas,10,Bejucal de Ocampo,Sí,8.2
07/09/2017,7,Chiapas,11,Bella Vista,Sí,8.2
07/09/2017,7,Chiapas,12,Berriozábal,Sí,8.2
07/09/2017,7,Chiapas,13,Bochil,Sí,8.2
07/09/2017,7,Chiapas,14,El Bosque,Sí,8.2
07/09/2017,7,Chiapas,15,Cacahoatán,Sí,8.2
07/09/2017,7,Chiapas,17,Cintalapa,Sí,8.2
07/09/2017,7,Chiapas,18,Coapilla,Sí,8.2
07/09/2017,7,Chiapas,19,Comitán de Domínguez,Sí,8.2
07/09/2017,7,Chiapas,20,La Concordia,Sí,8.2
07/09/2017,7,Chiapas,21,Copainalá,Sí,8.2
07/09/2017,7,Chiapas,22,Chalchihuitán,Sí,8.2
07/09/2017,7,Chiapas,23,Chamula,Sí,8.2
07/09/2017,7,Chiapas,24,Chanal,Sí,8.2
07/09/2017,7,Chiapas,26,Chenalhó,Sí,8.2
07/09/2017,7,Chiapas,27,Chiapa de Corzo,Sí,8.2
07/09/2017,7,Chiapas,28,Chiapilla,Sí,8.2
07/09/2017,7,Chiapas,29,Chicoasén,Sí,8.2
07/09/2017,7,Chiapas,30,Chicomuselo,Sí,8.2
07/09/2017,7,Chiapas,32,Escuintla,Sí,8.2
07/09/2017,7,Chiapas,33,Francisco León,Sí,8.2
07/09/2017,7,Chiapas,34,Frontera Comalapa,Sí,8.2
07/09/2017,7,Chiapas,35,Frontera Hidalgo,Sí,8.2
07/09/2017,7,Chiapas,36,La Grandeza,Sí,8.2
07/09/2017,7,Chiapas,37,Huehuetán,Sí,8.2
07/09/2017,7,Chiapas,38,Huixtán,Sí,8.2
07/09/2017,7,Chiapas,40,Huixtla,Sí,8.2
07/09/2017,7,Chiapas,41,La Independencia,Sí,8.2
07/09/2017,7,Chiapas,44,Ixtapa,Sí,8.2
07/09/2017,7,Chiapas,46,Jiquipilas,Sí,8.2
07/09/2017,7,Chiapas,47,Jitotol,Sí,8.2
07/09/2017,7,Chiapas,49,Larráinzar,Sí,8.2
07/09/2017,7,Chiapas,51,Mapastepec,Sí,8.2
07/09/2017,7,Chiapas,52,Las Margaritas,Sí,8.2
07/09/2017,7,Chiapas,53,Mazapa de Madero,Sí,8.2
07/09/2017,7,Chiapas,54,Mazatán,Sí,8.2
07/09/2017,7,Chiapas,55,Metapa,Sí,8.2
07/09/2017,7,Chiapas,56,Mitontic,Sí,8.2
07/09/2017,7,Chiapas,57,Motozintla,Sí,8.2
07/09/2017,7,Chiapas,58,Nicolás Ruíz,Sí,8.2
07/09/2017,7,Chiapas,59,Ocosingo,Sí,8.2
07/09/2017,7,Chiapas,60,Ocotepec,Sí,8.2
07/09/2017,7,Chiapas,61,Ocozocoautla de Espinosa,Sí,8.2
07/09/2017,7,Chiapas,63,Osumacinta,Sí,8.2
07/09/2017,7,Chiapas,64,Oxchuc,Sí,8.2
07/09/2017,7,Chiapas,66,Pantelhó,Sí,8.2
07/09/2017,7,Chiapas,67,Pantepec,Sí,8.2
07/09/2017,7,Chiapas,69,Pijijiapan,Sí,8.2
07/09/2017,7,Chiapas,70,El Porvenir,Sí,8.2
07/09/2017,7,Chiapas,71,Villa Comaltitlán,Sí,8.2
07/09/2017,7,Chiapas,72,Pueblo Nuevo Solistahuacán,Sí,8.2
07/09/2017,7,Chiapas,73,Rayón,Sí,8.2
07/09/2017,7,Chiapas,75,Las Rosas,Sí,8.2
07/09/2017,7,Chiapas,78,San Cristóbal de las Casas,Sí,8.2
07/09/2017,7,Chiapas,79,San Fernando,Sí,8.2
07/09/2017,7,Chiapas,80,Siltepec,Sí,8.2
07/09/2017,7,Chiapas,81,Simojovel,Sí,8.2
07/09/2017,7,Chiapas,83,Socoltenango,Sí,8.2
07/09/2017,7,Chiapas,84,Solosuchiapa,Sí,8.2
07/09/2017,7,Chiapas,85,Soyaló,Sí,8.2
07/09/2017,7,Chiapas,86,Suchiapa,Sí,8.2
07/09/2017,7,Chiapas,87,Suchiate,Sí,8.2
07/09/2017,7,Chiapas,89,Tapachula,Sí,8.2
07/09/2017,7,Chiapas,90,Tapalapa,Sí,8.2
07/09/2017,7,Chiapas,92,Tecpatán,Sí,8.2
07/09/2017,7,Chiapas,93,Tenejapa,Sí,8.2
07/09/2017,7,Chiapas,94,Teopisca,Sí,8.2
07/09/2017,7,Chiapas,97,Tonalá,Sí,8.2
07/09/2017,7,Chiapas,98,Totolapa,Sí,8.2
07/09/2017,7,Chiapas,99,La Trinitaria,Sí,8.2
07/09/2017,7,Chiapas,101,Tuxtla Gutiérrez,Sí,8.2
07/09/2017,7,Chiapas,102,Tuxtla Chico,Sí,8.2
07/09/2017,7,Chiapas,103,Tuzantán,Sí,8.2
07/09/2017,7,Chiapas,104,Tzimol,Sí,8.2
07/09/2017,7,Chiapas,105,Unión Juárez,Sí,8.2
07/09/2017,7,Chiapas,106,Venustiano Carranza,Sí,8.2
07/09/2017,7,Chiapas,107,Villa Corzo,Sí,8.2
07/09/2017,7,Chiapas,108,Villaflores,Sí,8.2
07/09/2017,7,Chiapas,110,San Lucas,Sí,8.2
07/09/2017,7,Chiapas,111,Zinacantán,Sí,8.2
07/09/2017,7,Chiapas,112,San Juan Cancuc,Sí,8.2
07/09/2017,7,Chiapas,113,Aldama,Sí,8.2
07/09/2017,7,Chiapas,117,Montecristo de Guerrero,Sí,8.2
07/09/2017,7,Chiapas,118,San Andrés Duraznal,Sí,8.2
07/09/2017,7,Chiapas,119,Santiago el Pinar,Sí,8.2
19/09/2017,7,Chiapas,121,Emiliano Zapata,Sí,7.1
07/09/2017,7,Chiapas,122,El Parral,Sí,8.2
19/09/2017,7,Chiapas,123,Mezcalapa,Sí,7.1
19/09/2017,9,CIudad de México,2,Azcapotzalco,Sí,7.1
19/09/2017,9,CIudad de México,3,Coyoacán,Sí,7.1
19/09/2017,9,CIudad de México,4,Cuajimalpa de Morelos,Sí,7.1
19/09/2017,9,CIudad de México,5,Gustavo A. Madero,Sí,7.1
19/09/2017,9,CIudad de México,6,Iztacalco,Sí,7.1
19/09/2017,9,CIudad de México,7,Iztapalapa,Sí,7.1
19/09/2017,9,CIudad de México,8,La Magdalena Contreras,Sí,7.1
19/09/2017,9,CIudad de México,9,Milpa Alta,Sí,7.1
19/09/2017,9,CIudad de México,10,Álvaro Obregón,Sí,7.1
19/09/2017,9,CIudad de México,11,Tláhuac,Sí,7.1
19/09/2017,9,CIudad de México,12,Tlalpan,Sí,7.1
19/09/2017,9,CIudad de México,13,Xochimilco,Sí,7.1
19/09/2017,9,CIudad de México,14,Benito Juárez,Sí,7.1
19/09/2017,9,CIudad de México,15,Cuauhtémoc,Sí,7.1
19/09/2017,9,CIudad de México,16,Miguel Hidalgo,Sí,7.1
19/09/2017,9,CIudad de México,17,Venustiano Carranza,Sí,7.1
19/09/2017,12,Guerrero,2,Ahuacuotzingo,Sí,7.1
19/09/2017,12,Guerrero,4,Alcozauca de Guerrero,Sí,7.1
19/09/2017,12,Guerrero,5,Alpoyeca,Sí,7.1
19/09/2017,12,Guerrero,8,Atenango del Río,Sí,7.1
19/09/2017,12,Guerrero,15,Buenavista de Cuéllar,Sí,7.1
19/09/2017,12,Guerrero,19,Copalillo,Sí,7.1
19/09/2017,12,Guerrero,24,Cualác,Sí,7.1
19/09/2017,12,Guerrero,33,Huamuxtitlán,Sí,7.1
19/09/2017,12,Guerrero,34,Huitzuco de los Figueroa,Sí,7.1
19/09/2017,12,Guerrero,35,Iguala de la Independencia,Sí,7.1
19/09/2017,12,Guerrero,42,Mártir de Cuilapan,Sí,7.1
19/09/2017,12,Guerrero,45,Olinalá,Sí,7.1
19/09/2017,12,Guerrero,49,Pilcaya,Sí,7.1
19/09/2017,12,Guerrero,55,Taxco de Alarcón,Sí,7.1
19/09/2017,12,Guerrero,59,Tepecoacuilco de Trujano,Sí,7.1
19/09/2017,12,Guerrero,60,Tetipac,Sí,7.1
19/09/2017,12,Guerrero,65,Tlalixtaquilla de Maldonado,Sí,7.1
19/09/2017,12,Guerrero,66,Tlapa de Comonfort,Sí,7.1
19/09/2017,12,Guerrero,70,Xochihuehuetlán,Sí,7.1
19/09/2017,15,México,9,Amecameca,Sí,7.1
19/09/2017,15,México,15,Atlautla,Sí,7.1
19/09/2017,15,México,34,Ecatzingo,Sí,7.1
19/09/2017,15,México,49,Joquicingo,Sí,7.1
19/09/2017,15,México,52,Malinalco,Sí,7.1
19/09/2017,15,México,58,Nezahualcóyotl,Sí,7.1
19/09/2017,15,México,63,Ocuilan,Sí,7.1
19/09/2017,15,México,88,Tenancingo,Sí,7.1
19/09/2017,15,México,94,Tepetlixpa,Sí,7.1
19/09/2017,15,México,101,Tianguistenco,Sí,7.1
19/09/2017,15,México,113,Villa Guerrero,Sí,7.1
19/09/2017,15,México,119,Zumpahuacán,Sí,7.1
19/09/2017,17,Morelos,1,Amacuzac,Sí,7.1
19/09/2017,17,Morelos,2,Atlatlahucan,Sí,7.1
19/09/2017,17,Morelos,3,Axochiapan,Sí,7.1
19/09/2017,17,Morelos,4,Ayala,Sí,7.1
19/09/2017,17,Morelos,5,Coatlán del Río,Sí,7.1
19/09/2017,17,Morelos,6,Cuautla,Sí,7.1
19/09/2017,17,Morelos,7,Cuernavaca,Sí,7.1
19/09/2017,17,Morelos,8,Emiliano Zapata,Sí,7.1
19/09/2017,17,Morelos,9,Huitzilac,Sí,7.1
19/09/2017,17,Morelos,10,Jantetelco,Sí,7.1
19/09/2017,17,Morelos,11,Jiutepec,Sí,7.1
19/09/2017,17,Morelos,12,Jojutla,Sí,7.1
19/09/2017,17,Morelos,13,Jonacatepec,Sí,7.1
19/09/2017,17,Morelos,14,Mazatepec,Sí,7.1
19/09/2017,17,Morelos,15,Miacatlán,Sí,7.1
19/09/2017,17,Morelos,16,Ocuituco,Sí,7.1
19/09/2017,17,Morelos,17,Puente de Ixtla,Sí,7.1
19/09/2017,17,Morelos,18,Temixco,Sí,7.1
19/09/2017,17,Morelos,19,Tepalcingo,Sí,7.1
19/09/2017,17,Morelos,20,Tepoztlán,Sí,7.1
19/09/2017,17,Morelos,21,Tetecala,Sí,7.1
19/09/2017,17,Morelos,22,Tetela del Volcán,Sí,7.1
19/09/2017,17,Morelos,23,Tlalnepantla,Sí,7.1
19/09/2017,17,Morelos,24,Tlaltizapán,Sí,7.1
19/09/2017,17,Morelos,25,Tlaquiltenango,Sí,7.1
19/09/2017,17,Morelos,26,Tlayacapan,Sí,7.1
19/09/2017,17,Morelos,27,Totolapan,Sí,7.1
19/09/2017,17,Morelos,28,Xochitepec,Sí,7.1
19/09/2017,17,Morelos,29,Yautepec,Sí,7.1
19/09/2017,17,Morelos,30,Yecapixtla,Sí,7.1
19/09/2017,17,Morelos,31,Zacatepec,Sí,7.1
19/09/2017,17,Morelos,32,Zacualpan,Sí,7.1
19/09/2017,17,Morelos,33,Temoac,Sí,7.1
19/09/2017,20,Oaxaca,3,Asunción Cacalotepec,Sí,7.1
19/09/2017,20,Oaxaca,4,Asunción Cuyotepeji,Sí,7.1
07/09/2017,20,Oaxaca,5,Asunción Ixtaltepec,Sí,8.2
19/09/2017,20,Oaxaca,7,Asunción Ocotlán,Sí,7.1
19/09/2017,20,Oaxaca,8,Asunción Tlacolulita,Sí,7.1
07/09/2017,20,Oaxaca,10,El Barrio de la Soledad,Sí,8.2
19/09/2017,20,Oaxaca,11,Calihualá,Sí,7.1
19/09/2017,20,Oaxaca,12,Candelaria Loxicha,Sí,7.1
19/09/2017,20,Oaxaca,13,Ciénega de Zimatlán,Sí,7.1
07/09/2017,20,Oaxaca,14,Ciudad Ixtepec,Sí,8.2
19/09/2017,20,Oaxaca,15,Coatecas Altas,Sí,7.1
19/09/2017,20,Oaxaca,17,La Compañía,Sí,7.1
19/09/2017,20,Oaxaca,22,Cosoltepec,Sí,7.1
19/09/2017,20,Oaxaca,23,Cuilápam de Guerrero,Sí,7.1
07/09/2017,20,Oaxaca,25,Chahuites,Sí,8.2
19/09/2017,20,Oaxaca,28,Heroica Ciudad de Ejutla de Crespo,Sí,7.1
07/09/2017,20,Oaxaca,30,El Espinal,Sí,8.2
19/09/2017,20,Oaxaca,31,Tamazulapam del Espíritu Santo,Sí,7.1
19/09/2017,20,Oaxaca,32,Fresnillo de Trujano,Sí,7.1
19/09/2017,20,Oaxaca,33,Guadalupe Etla,Sí,7.1
