CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLA,PAN,PRI,PRD,PVEM,MC,NVA_ALIANZA,PAC,PS,MORENA,ES,PRI_PVEM_NVA_ALIANZA_PS,PRI_NVA_ALIANZA_PVEM,PRI_PS_PVEM,PRI_PS_NVA_ALIANZA,PVEM_PS_NVA_ALIANZA,PRI_PVEM,PRI_NVA_ALIANZA,PRI_PS,PVEM_NVA_ALIANZA,PVEM_PS,NVA_ALIANZA_PS,CAND_IND1,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,ESTATUS_ACTA,TEPJF,OBSERVACIONES,RUTA_ACTA
4,29,TLAXCALA,8,CONTLA DE JUAN CUAMATZI,1,AMAXAC DE GUERRERO,1,B,26,93,146,24,6,5,20,1,34,4,0,1,0,0,0,1,1,0,0,0,0,7,0,369,8,377,526,Recuento,,,http://www.itetlax.org.mx/wp-content/uploads/2016/Transparencia/ART67_ITE/Computos%20Totales_i/Computos_Totales_Gobernador/Actas%20Recuento/Actas_Nuevo_Escru_8.pdf
4,29,TLAXCALA,8,CONTLA DE JUAN CUAMATZI,1,AMAXAC DE GUERRERO,1,C01,24,112,148,24,5,5,10,1,32,3,0,0,0,0,1,2,0,0,0,0,0,13,0,380,10,390,525,Recuento,,,http://www.itetlax.org.mx/wp-content/uploads/2016/Transparencia/ART67_ITE/Computos%20Totales_i/Computos_Totales_Gobernador/Actas%20Recuento/Actas_Nuevo_Escru_8.pdf
4,29,TLAXCALA,8,CONTLA DE JUAN CUAMATZI,1,AMAXAC DE GUERRERO,2,B,41,139,152,14,2,6,23,0,30,4,3,0,1,0,0,0,0,0,0,0,0,6,0,421,8,429,628,Recuento,,,http://www.itetlax.org.mx/wp-content/uploads/2016/Transparencia/ART67_ITE/Computos%20Totales_i/Computos_Totales_Gobernador/Actas%20Recuento/Actas_Nuevo_Escru_8.pdf
4,29,TLAXCALA,8,CONTLA DE JUAN CUAMATZI,1,AMAXAC DE GUERRERO,2,C01,39,117,180,25,9,14,26,3,35,1,0,2,0,0,0,1,0,0,0,0,0,9,0,461,9,470,627,Recuento,,,http://www.itetlax.org.mx/wp-content/uploads/2016/Transparencia/ART67_ITE/Computos%20Totales_i/Computos_Totales_Gobernador/Actas%20Recuento/Actas_Nuevo_Escru_8.pdf
4,29,TLAXCALA,8,CONTLA DE JUAN CUAMATZI,1,AMAXAC DE GUERRERO,2,C02,38,146,148,18,1,8,20,2,37,1,0,0,0,0,0,2,0,0,0,0,0,12,0,433,5,438,627,Recuento,,,http://www.itetlax.org.mx/wp-content/uploads/2016/Transparencia/ART67_ITE/Computos%20Totales_i/Computos_Totales_Gobernador/Actas%20Recuento/Actas_Nuevo_Escru_8.pdf
4,29,TLAXCALA,8,CONTLA DE JUAN CUAMATZI,1,AMAXAC DE GUERRERO,2,C03,46,134,145,18,2,11,24,1,24,1,1,1,0,0,0,1,0,0,0,0,0,5,1,415,5,420,627,Recuento,,,http://www.itetlax.org.mx/wp-content/uploads/2016/Transparencia/ART67_ITE/Computos%20Totales_i/Computos_Totales_Gobernador/Actas%20Recuento/Actas_Nuevo_Escru_8.pdf
4,29,TLAXCALA,8,CONTLA DE JUAN CUAMATZI,1,AMAXAC DE GUERRERO,2,C04,35,134,153,14,2,8,15,0,34,3,1,0,0,0,0,1,0,0,0,0,0,9,0,409,9,418,627,Recuento,,,http://www.itetlax.org.mx/wp-content/uploads/2016/Transparencia/ART67_ITE/Computos%20Totales_i/Computos_Totales_Gobernador/Actas%20Recuento/Actas_Nuevo_Escru_8.pdf
4,29,TLAXCALA,8,CONTLA DE JUAN CUAMATZI,1,AMAXAC DE GUERRERO,3,B,51,149,204,8,2,10,17,4,33,3,0,0,0,0,0,2,0,0,0,0,0,4,0,487,10,497,718,Recuento,,,http://www.itetlax.org.mx/wp-content/uploads/2016/Transparencia/ART67_ITE/Computos%20Totales_i/Computos_Totales_Gobernador/Actas%20Recuento/Actas_Nuevo_Escru_8.pdf
4,29,TLAXCALA,8,CONTLA DE JUAN CUAMATZI,1,AMAXAC DE GUERRERO,3,C01,48,141,211,26,5,5,42,0,34,0,0,0,0,0,0,3,1,0,0,0,0,9,0,525,8,533,717,Recuento,,,http://www.itetlax.org.mx/wp-content/uploads/2016/Transparencia/ART67_ITE/Computos%20Totales_i/Computos_Totales_Gobernador/Actas%20Recuento/Actas_Nuevo_Escru_8.pdf
4,29,TLAXCALA,8,CONTLA DE JUAN CUAMATZI,1,AMAXAC DE GUERRERO,3,C02,58,138,155,31,7,9,22,2,33,2,0,0,0,0,0,2,0,0,1,0,0,10,1,471,11,482,717,Recuento,,,http://www.itetlax.org.mx/wp-content/uploads/2016/Transparencia/ART67_ITE/Computos%20Totales_i/Computos_Totales_Gobernador/Actas%20Recuento/Actas_Nuevo_Escru_8.pdf
