CICLO,ID_ENTIDAD_FEDERATIVA,ENTIDAD_FEDERATIVA,ID_MUNICIPIO,MUNICIPIO,NUM_CUENTAS_PAGADAS,MONTO_PREDIAL
2004,1,Aguascalientes,0,Cobertura estatal,No disponible ,99333635
2005,1,Aguascalientes,0,Cobertura estatal,No disponible ,106979007
2006,1,Aguascalientes,0,Cobertura estatal,No disponible ,111779710
2007,1,Aguascalientes,0,Cobertura estatal,No disponible ,122742263
2008,1,Aguascalientes,0,Cobertura estatal,No disponible ,130375753
2009,1,Aguascalientes,0,Cobertura estatal,No disponible ,144322728
2010,1,Aguascalientes,0,Cobertura estatal,No disponible ,164036641
2011,1,Aguascalientes,0,Cobertura estatal,No disponible ,197749319
2012,1,Aguascalientes,0,Cobertura estatal,No disponible ,226234928
2013,1,Aguascalientes,1,Aguascalientes,247526,213323432
2014,1,Aguascalientes,1,Aguascalientes,247012,220441379
2015,1,Aguascalientes,1,Aguascalientes,254586,227957826
2016,1,Aguascalientes,1,Aguascalientes,256282,241380938.7
2013,1,Aguascalientes,2,Asientos,5880,1337854.98
2014,1,Aguascalientes,2,Asientos,7417,3072426
2015,1,Aguascalientes,2,Asientos,7768,3900042
2016,1,Aguascalientes,2,Asientos,7572,3939930
2013,1,Aguascalientes,3,Calvillo,24080,7381048.73
2014,1,Aguascalientes,3,Calvillo,22592,8626835
2015,1,Aguascalientes,3,Calvillo,22978,9629006
2016,1,Aguascalientes,3,Calvillo,24099,10276921.57
2013,1,Aguascalientes,4,Cosío,1697,651562.5
2014,1,Aguascalientes,4,Cosío,1814,904483
2015,1,Aguascalientes,4,Cosío,1775,741965
2016,1,Aguascalientes,4,Cosío,2029,869380
2013,1,Aguascalientes,5,Jesús María,35503,16270213.49
2014,1,Aguascalientes,5,Jesús María,19007,18904487
2015,1,Aguascalientes,5,Jesús María,24837,24478241.31
2016,1,Aguascalientes,5,Jesús María,28563,28158877
2013,1,Aguascalientes,6,Pabellón de Arteaga,8143,2892596
2014,1,Aguascalientes,6,Pabellón de Arteaga,8936,4154347
2015,1,Aguascalientes,6,Pabellón de Arteaga,8892,4336217
2016,1,Aguascalientes,6,Pabellón de Arteaga,8819,4475352
2013,1,Aguascalientes,7,Rincón de Romos,14801,3669585
2014,1,Aguascalientes,7,Rincón de Romos,13221,3989079
2015,1,Aguascalientes,7,Rincón de Romos,13845,4621190.29
2016,1,Aguascalientes,7,Rincón de Romos,12589,5503076
2013,1,Aguascalientes,8,San José de Gracia,2324,945893.51
2014,1,Aguascalientes,8,San José de Gracia,2884,1077252.47
2015,1,Aguascalientes,8,San José de Gracia,2839,1049425.27
2016,1,Aguascalientes,8,San José de Gracia,3215,1282034.33
2013,1,Aguascalientes,9,Tepezalá,3399,1409659
2014,1,Aguascalientes,9,Tepezalá,3440,1495966
2015,1,Aguascalientes,9,Tepezalá,3541,1872927
2016,1,Aguascalientes,9,Tepezalá,3463,1972475.08
2013,1,Aguascalientes,10,El Llano,2307,690164.9
2014,1,Aguascalientes,10,El Llano,2985,722501
2015,1,Aguascalientes,10,El Llano,2967,738187.93
2016,1,Aguascalientes,10,El Llano,2593,811276.86
2013,1,Aguascalientes,11,San Francisco de los Romo,13046,6947337.48
2014,1,Aguascalientes,11,San Francisco de los Romo,12113,7603214.9
2015,1,Aguascalientes,11,San Francisco de los Romo,13954,9520561
2016,1,Aguascalientes,11,San Francisco de los Romo,14213,11166395
2004,2,Baja California,0,Cobertura estatal,No disponible ,479753268
2005,2,Baja California,0,Cobertura estatal,No disponible ,559132188
2006,2,Baja California,0,Cobertura estatal,No disponible ,592544870
2007,2,Baja California,0,Cobertura estatal,No disponible ,615385666
2008,2,Baja California,0,Cobertura estatal,No disponible ,805009539
2009,2,Baja California,0,Cobertura estatal,No disponible ,850003648
2010,2,Baja California,0,Cobertura estatal,No disponible ,813959138
2011,2,Baja California,0,Cobertura estatal,No disponible ,937195243
2012,2,Baja California,0,Cobertura estatal,No disponible ,1030287808
2013,2,Baja California,1,Ensenada,123682,104088425
2014,2,Baja California,1,Ensenada,120609,133650411
2015,2,Baja California,1,Ensenada,123706,163007055
2016,2,Baja California,1,Ensenada,108455,165918476
2013,2,Baja California,2,Mexicali,205179,369155540
2014,2,Baja California,2,Mexicali,222893,333355643
2015,2,Baja California,2,Mexicali,187846,427349389
2016,2,Baja California,2,Mexicali,262315,550652412
2013,2,Baja California,3,Tecate,25406,28159190
2014,2,Baja California,3,Tecate,21167,35253449
2015,2,Baja California,3,Tecate,15032,35533779
2016,2,Baja California,3,Tecate,22367,40439529
2013,2,Baja California,4,Tijuana,447104,517036683
2014,2,Baja California,4,Tijuana,475849,504634388
2015,2,Baja California,4,Tijuana,477715,576866019
2016,2,Baja California,4,Tijuana,452049,605517510
2013,2,Baja California,5,Playas de Rosarito,46105,50130561
2014,2,Baja California,5,Playas de Rosarito,38043,50387087
2015,2,Baja California,5,Playas de Rosarito,40437,57750608
2016,2,Baja California,5,Playas de Rosarito,42645,60574540
2004,3,Baja California Sur,0,Cobertura estatal,No disponible ,142143161
2005,3,Baja California Sur,0,Cobertura estatal,No disponible ,144518146
2006,3,Baja California Sur,0,Cobertura estatal,No disponible ,218857529
2007,3,Baja California Sur,0,Cobertura estatal,No disponible ,243273914
2008,3,Baja California Sur,0,Cobertura estatal,No disponible ,280194639
2009,3,Baja California Sur,0,Cobertura estatal,No disponible ,299704076
2010,3,Baja California Sur,0,Cobertura estatal,No disponible ,307665259
2011,3,Baja California Sur,0,Cobertura estatal,No disponible ,301744468
2012,3,Baja California Sur,0,Cobertura estatal,No disponible ,367083776
2013,3,Baja California Sur,1,Comondú,19447,15109378.95
2014,3,Baja California Sur,1,Comondú,18053,14134261
2015,3,Baja California Sur,1,Comondú,18775,14702517.86
2016,3,Baja California Sur,1,Comondú,20059,16854719.48
2013,3,Baja California Sur,2,Mulegé,17213,7748118
2014,3,Baja California Sur,2,Mulegé,18820,15077949
2015,3,Baja California Sur,2,Mulegé,18195,15830618.75
2016,3,Baja California Sur,2,Mulegé,9319,16040166.93
2013,3,Baja California Sur,3,La Paz,140437,98682946
2014,3,Baja California Sur,3,La Paz,88020,91022291
2015,3,Baja California Sur,3,La Paz,90823,114265097
2016,3,Baja California Sur,3,La Paz,93571,121512103
2013,3,Baja California Sur,8,Los Cabos,86031,250383602.4
2014,3,Baja California Sur,8,Los Cabos,77087,242193083.8
2015,3,Baja California Sur,8,Los Cabos,56739,251227354.5
2016,3,Baja California Sur,8,Los Cabos,60658,267250828.9
2013,3,Baja California Sur,9,Loreto,5427,36090883
2014,3,Baja California Sur,9,Loreto,5110,32349208
2015,3,Baja California Sur,9,Loreto,5242,29488795
2016,3,Baja California Sur,9,Loreto,5980,46575660.72
2004,4,Campeche,0,Cobertura estatal,No disponible ,51391973
2005,4,Campeche,0,Cobertura estatal,No disponible ,54710851
2006,4,Campeche,0,Cobertura estatal,No disponible ,55283442
2007,4,Campeche,0,Cobertura estatal,No disponible ,61532969
2008,4,Campeche,0,Cobertura estatal,No disponible ,70102198
2009,4,Campeche,0,Cobertura estatal,No disponible ,91620386
2010,4,Campeche,0,Cobertura estatal,No disponible ,79462022
2011,4,Campeche,0,Cobertura estatal,No disponible ,122138120
2012,4,Campeche,0,Cobertura estatal,No disponible ,129363208
2013,4,Campeche,1,Calkiní,2931,1604839
2014,4,Campeche,1,Calkiní,10901,2079730.2
2015,4,Campeche,1,Calkiní,5044,3002665
2016,4,Campeche,1,Calkiní,4950,3240515
2013,4,Campeche,2,Campeche,53490,48600110
2014,4,Campeche,2,Campeche,105557,63105189.8
2015,4,Campeche,2,Campeche,46076,58695824
2016,4,Campeche,2,Campeche,47480,63267436.53
2013,4,Campeche,3,Carmen,29551,71171661.56
2014,4,Campeche,3,Carmen,67264,82564574.99
2015,4,Campeche,3,Carmen,32359,89559242.67
2016,4,Campeche,3,Carmen,34312,86450439.89
2013,4,Campeche,4,Champotón,7459,8855663
2014,4,Campeche,4,Champotón,19295,5006521.2
2015,4,Campeche,4,Champotón,8361,11523866
2016,4,Campeche,4,Champotón,9289,6823135
2013,4,Campeche,5,Hecelchakán,2126,1021756
2014,4,Campeche,5,Hecelchakán,5209,1167922.67
2015,4,Campeche,5,Hecelchakán,2337,1364194
2016,4,Campeche,5,Hecelchakán,4361,2366365
2013,4,Campeche,6,Hopelchén,2303,1939831
2014,4,Campeche,6,Hopelchén,8277,2003970.54
2015,4,Campeche,6,Hopelchén,2140,1963057
