CICLO,ID_ENTIDAD_FEDERATIVA,ENTIDAD_FEDERATIVA,MONTO_IMPUESTOS,MONTO_DERECHOS,MONTO_PREDIAL,MONTO_AGUA,TOTAL_RECAUDACION_LOCAL
2004,1,Aguascalientes,54341000.000,138490000.000,99333635.000,350558724.000,642723359.000
2005,1,Aguascalientes,77628000.000,203470000.000,106979007.000,392084179.000,780161186.000
2006,1,Aguascalientes,174415000.000,177776000.000,111779710.000,445213089.000,909183799.000
2007,1,Aguascalientes,329679000.000,210972000.000,122742263.000,469502103.000,1132895366.000
2008,1,Aguascalientes,320583000.000,221498000.000,130375753.000,505146667.000,1177603420.000
2009,1,Aguascalientes,476498000.000,205296000.000,144322728.000,551366343.000,1377483071.000
2010,1,Aguascalientes,496504000.000,449298764.000,164036641.000,610276678.000,1720116083.000
2011,1,Aguascalientes,556580000.000,524420862.000,197749319.000,666226634.000,1944976815.000
2012,1,Aguascalientes,655249588.000,715901790.000,226234928.000,715938048.000,2313324354.000
2013,1,Aguascalientes,836986077.000,328124842.000,255519344.000,746437504.000,2167067767.000
2014,1,Aguascalientes,652590272.000,378108864.000,270991968.000,798254656.000,2099945760.000
2015,1,Aguascalientes,753498127.000,422779366.000,288845600.000,822402944.000,2287526037.000
2016,1,Aguascalientes,743362624.000,460400256.000,309836672.000,852764928.000,2366364480.000
2004,2,Baja California,953337825.000,781690525.000,479753268.000,2038951066.000,4253732684.000
2005,2,Baja California,1036449134.000,722981199.000,559132188.000,2257197333.000,4575759854.000
2006,2,Baja California,1134038433.000,809916962.000,592544870.000,2400620825.000,4937121090.000
2007,2,Baja California,1280240372.000,895627619.000,615385666.000,2554787560.000,5346041217.000
2008,2,Baja California,1326020384.000,882888332.000,805009539.000,2662439989.000,5676358244.000
2009,2,Baja California,1250609439.000,767448369.000,850003648.000,2770432613.000,5638494069.000
2010,2,Baja California,1380895979.000,1126097745.000,813959138.000,2866412419.000,6187365281.000
2011,2,Baja California,1762861136.000,939141616.000,937195243.000,2974762277.000,6613960272.000
2012,2,Baja California,2091220860.000,976043716.000,1030287808.000,3085241344.000,7182793728.000
2013,2,Baja California,2169076993.000,842409134.950,1068570368.000,3399219200.000,7479275695.950
2014,2,Baja California,2322357504.000,856197248.000,1057280960.000,3509541632.000,7745377344.000
2015,2,Baja California,2575378947.000,878570798.240,1260506880.000,3908606720.000,8623063345.240
2016,2,Baja California,2953581824.000,1060565952.000,1423102464.000,4198905088.000,9636155328.000
2004,3,Baja California Sur,120525000.000,1497000.000,142143161.000,293274854.000,557440015.000
2005,3,Baja California Sur,207171952.000,3252451.000,144518146.000,294191860.000,649134409.000
2006,3,Baja California Sur,279907162.000,49355098.000,218857529.000,393073746.000,941193535.000
2007,3,Baja California Sur,345074753.000,50886798.000,243273914.000,521614972.000,1160850437.000
2008,3,Baja California Sur,379462333.000,50945000.000,280194639.000,512923881.000,1223525853.000
2009,3,Baja California Sur,354322566.220,44564990.850,299704076.000,506488494.000,1205080127.070
2010,3,Baja California Sur,362799151.000,43000643.000,307665259.000,509842860.000,1223307913.000
2011,3,Baja California Sur,410378217.180,58815787.310,301744468.000,549093021.000,1320031493.490
2012,3,Baja California Sur,578337271.260,65714885.120,367083776.000,582354240.000,1593490172.380
2013,3,Baja California Sur,627890049.000,28609799.860,408014944.000,604773376.000,1669288168.860
2014,3,Baja California Sur,589952448.000,30057640.000,394776800.000,618511168.000,1633298056.000
2015,3,Baja California Sur,628500371.450,35986753.910,425514368.000,670328640.000,1760330133.360
2016,3,Baja California Sur,762824000.000,340578400.000,468233472.000,763384960.000,2335020832.000
2004,4,Campeche,276833000.000,140842000.000,51391973.000,52070824.000,521137797.000
2005,4,Campeche,290407000.000,147256000.000,54710851.000,68802625.000,561176476.000
2006,4,Campeche,344047000.000,172908000.000,55283442.000,83671082.000,655909524.000
2007,4,Campeche,436667000.000,211523000.000,61532969.000,87585064.000,797308033.000
2008,4,Campeche,473447000.000,264782000.000,70102198.000,99331857.000,907663055.000
2009,4,Campeche,523963000.000,263062000.000,91620386.000,101953954.000,980599340.000
2010,4,Campeche,822511379.000,326010060.000,79462022.000,104181042.000,1332164503.000
2011,4,Campeche,1015611286.700,618811240.460,122138120.000,112701589.000,1869262236.160
2012,4,Campeche,1116673175.300,625612564.770,129363208.000,123074512.000,1994723460.070
2013,4,Campeche,1290273144.000,248467567.000,143752192.000,123649104.000,1806142007.000
2014,4,Campeche,1666980096.000,387328672.000,168685904.000,139480352.000,2362475024.000
2015,4,Campeche,1893450804.000,336582590.730,180109792.000,151261424.000,2561404610.730
2016,4,Campeche,1440619264.000,364521984.000,181180160.000,157365712.000,2143687120.000
2004,5,Coahuila,364077389.000,553630404.000,294501349.000,832098010.000,2044307152.000
2005,5,Coahuila,404122412.000,467096569.000,310778919.000,875072798.000,2057070698.000
2006,5,Coahuila,430561000.000,568891000.000,345946078.000,977523269.000,2322921347.000
2007,5,Coahuila,495453639.000,875236947.000,378771903.000,1023260229.000,2772722718.000
2008,5,Coahuila,571497094.000,892106850.000,394327855.000,1115098148.000,2973029947.000
2009,5,Coahuila,527977548.750,778560286.010,469295612.000,1143973521.000,2919806967.760
2010,5,Coahuila,686731683.000,1095447561.000,532890177.000,1254632811.000,3569702232.000
2011,5,Coahuila,854159702.800,948018191.060,549125249.000,1304640445.000,3655943587.860
2012,5,Coahuila,2409841770.700,1351749768.000,558727744.000,1366295424.000,5686614706.700
2013,5,Coahuila,2025807094.000,1879444657.000,610227904.000,1337892224.000,5853371879.000
2014,5,Coahuila,2083776640.000,1549532160.000,654119680.000,1519897088.000,5807325568.000
2015,5,Coahuila,2255930844.500,1696390852.500,738981696.000,1660494848.000,6351798241.000
2016,5,Coahuila,2855502592.000,2448477952.000,801853376.000,1755047936.000,7860881856.000
2004,6,Colima,24559031.190,89965520.110,74423908.000,201354904.000,390303363.300
