key,name,ramo,unidad,state,lat,lng,advance,monto_total_inversion,ciclo,classification,ejercido
'06096390005,China - Méndez,9,Centro SCT Nuevo León,19,25.691845,-99.18091,92.85,238060917,2016,,0
'05096320036,La Providencia - Santa Rosa,9,Centro SCT Guerrero,12,17.098052,-99.817852,27.1,275287738,2017,Comunicaciones y Transportes,57301
'05096400010,San Idelfonso - Santa Cruz Zenzontepec.,9,Centro SCT Oaxaca,20,16.535627,-96.977445,72.54,361931597,2017,Comunicaciones y Transportes,36930793
'06096470005,Construccion y Ampliacion de la Carretera Estacion Chontalpa - Entronque Autopista Las Choapas - Ocozocoautla,9,Centro SCT Tabasco,27,17.8931,-94.088,74,726947613,2017,Comunicaciones y Transportes,113937427
'07096280001,Nonoava - Norogachi - Rocheachi - E.C. Creel - Guachochi,9,Centro SCT Chihuahua,8,27.478393,-106.744913,100,535938174,2016,,0
'07096330006,Actopan-Atotonilco,9,Centro SCT Hidalgo,13,20.269792,-98.942183,55.84,342126520,2017,,22014423
'08096330015,"Juárez Hidalgo, Tlahuiltepa.",9,Centro SCT Hidalgo,13,20.804464,-98.816754,34.22,242821293,2017,,25491942
'0809J2R0003,Ampliacion de Rompeolas del Puerto en 400.0 metros,9,"Administración Portuaria Integral de Ensenada, S.A. de C.V.",2,31.843801,-116.625471,12.29,593603327,2017,,97104542
'08096280003,Camino: Guachochi-Yoquivo,9,Centro SCT Chihuahua,8,26.819552,-107.082021,74.12,604081199,2017,Comunicaciones y Transportes,33488952
'08096280008,Nuevo Casas Grandes - Puerto Palomas,9,Centro SCT Chihuahua,8,30.88,-108.18,26.08,2062147281,2017,,101603432
'09096340017,Chimaltitán - Florencia.,9,Centro SCT Jalisco,14,21.78005556,-103.7799028,11.76,437915790,2017,Comunicaciones y Transportes,11644915
'09096360020,Las Letras-Casa Blanca,9,Centro SCT Michoacán,16,20.231478,-101.435499,84.57,87155555,2016,Comunicaciones y Transportes,4953346
'09096280009,Libramiento Sur de Ciudad Cuauhtémoc,9,Centro SCT Chihuahua,8,28.3807,-106.7553,56.22,750242442,2017,,58464714
'11096400015,Concepción Buenavista - San Antonio Abad - San Miguel Astatla,9,Centro SCT Oaxaca,20,17.881012,-97.405816,42.73,85108927,2017,,5132392
'11096460013,"Modernización de la Carretera Federal MEX 002 Janos - Agua Prieta, del km 78+000 al km 160+000",9,Centro SCT Sonora,26,31.3237,-108.7687,18.62,1139690158,2017,,191941180
'06056130001,Adquisición mediante arrendamiento financiero de un edificio para las oficinas de la Cancillería,5,Dirección General de Bienes Inmuebles y Recursos Materiales,9,19.4338,-99.1444,100,1863489579,2017,Gobierno,107139773
'06096280001,"Modernización de la Carretera Palomas-Parral, del Km. 92+000 al Km. al Km. 180+000.",9,Centro SCT Chihuahua,8,27.6378,-105.9749,93.58,955742377,2017,Comunicaciones y Transportes,63059707
'10096330006,C.E. Tecozautla-Tasquillo: El Salto-Caltimacan.,9,Centro SCT Hidalgo,13,20.526344,-99.5229,97.55,174101811,2016,Comunicaciones y Transportes,23645738
'10096440014,"Cd. Valles-Tampico, Tramo: Ent. Lib. Tamuín-Ent. Pánuco.",9,Centro SCT San Luis Potosí,35,0,0,72.22,2590240139,2017,Comunicaciones y Transportes,134061398
