numero_de_proyecto,clave_de_programa,Fondo,id_entidad,entidad,id_municipio,municipio,proyecto,monto,Pagado
1,U128,PROYECTOS DE DESARROLLO REGIONAL,28,TAMAULIPAS,3,ALTAMIRA,INFRAESTRUCTURA VIAL EN EL MUNICIPIO DE ALTAMIRA EN EL ESTADO DE TAMAULIPAS,5600000,0
2,U128,PROYECTOS DE DESARROLLO REGIONAL,28,TAMAULIPAS,9,CIUDAD MADERO,"INFRAESTRUCTURA VIAL EN EL MUNICIPIO DE MADERO ,   EN EL MUNICIPIO DE CIUDAD MADERO ,   EN EL ESTADO DE TAMAULIPAS",10000000,0
3,U128,PROYECTOS DE DESARROLLO REGIONAL,28,TAMAULIPAS,38,TAMPICO,INFRAESTRUCTURA VIAL EN EL MUNICIPIO DE TAMPICO EN EL ESTADO DE TAMAULIPAS,25600000,0
4,U128,PROYECTOS DE DESARROLLO REGIONAL,17,MORELOS,7,CUERNAVACA,"PASO ELEVADO JACARANDAS COL. PUERTA DEL SOL EN EL MUNICIPIO DE CUERNAVACA ,   MORELOS",10000000,0
5,U128,PROYECTOS DE DESARROLLO REGIONAL,16,MICHOACÁN,58,NUEVO PARANGARICUTIRO,"PAVIMENTACIÓN Y DRENAJE DE LA AVENIDA 12 DE MAYO ,   EN EL MUNICIPIO DE NUEVO PARANGARICUTIRO ,   EN EL ESTADO DE MICHOACÁN",2945211,0
6,U128,PROYECTOS DE DESARROLLO REGIONAL,1,AGUASCALIENTES,3,CALVILLO,"REHABILITACIÓN DE ANDADOR CENTENARIO ,   EN CALVILLO ,   AGUASCALIENTES",4000000,0
7,U128,PROYECTOS DE DESARROLLO REGIONAL,19,NUEVO LEÓN,39,MONTERREY,"REMODELACION DE PLAZAS PUBLICAS EN EL MUNICIPIO DE MONTERREY ,   CIRCUITO PUERTA DE HIERRO-PARQUE LINEAL TEMATICO ETAPA 1 PUERTA DE HIERRO -PROLONGACION LUIS CORTINES Y PASEO DE LOS LEONES EN EL ESTADO DE NUEVO LEÓN",5500000,0
8,U128,PROYECTOS DE DESARROLLO REGIONAL,1,AGUASCALIENTES,3,CALVILLO,"1ERA ETAPA DE LA REHABILITACIÓN DE LA CALLE SAN ISIDRO ,   EN LA COMUNIDAD DE LA FORTUNA ,   CALVILLO ,   AGUASCALIENTES",1500000,0
9,U128,PROYECTOS DE DESARROLLO REGIONAL,1,AGUASCALIENTES,3,CALVILLO,"1ERA ETAPA DE LA REHABILITACIÓN DE LA CALLE VISTA HERMOSA ,   EN FRACC. VISTA HERMOSA ,   CALVILLO ,   AGUASCALIENTES",5000000,0
10,U128,PROYECTOS DE DESARROLLO REGIONAL,1,AGUASCALIENTES,3,CALVILLO,"1ERA ETAPA DE REHABILITACIÓN DE LA CALLE RIO GRIJALVA ,   EN LA COMUNIDAD DE LA LABOR ,   CALVILLO ,   AGUASCALIENTES",3000000,0
11,U128,PROYECTOS DE DESARROLLO REGIONAL,7,CHIAPAS,89,TAPACHULA,"3A ETAPA DEL MALECÓN DE PUERTO CHIAPAS EN TAPACHULA ,   CHIAPAS",40000000,0
12,U128,PROYECTOS DE DESARROLLO REGIONAL,21,PUEBLA,142,SAN SALVADOR EL SECO,ADOQUINAMIENTO DE CALLE 7 SUR EN LA LOCALIDAD DE EL SECO DEL MUNICIPIO DE SAN SALVADOR EL SECO DEL ESTADO DE PUEBLA,2000000,0
13,U128,PROYECTOS DE DESARROLLO REGIONAL,21,PUEBLA,96,MAZAPILTEPEC DE JUÁREZ,ADOQUINAMIENTO DE CALLE LA PALMA EN LA LOCALIDAD DE MAZAPILTEPEC DEL MUNICIPIO DE MAZAPILTEPEC DE JUÁREZ DEL ESTADO DE PUEBLA,1500000,0
14,U128,PROYECTOS DE DESARROLLO REGIONAL,21,PUEBLA,113,PIAXTLA,"ADOQUINAMIENTO DE LA CALLE 16 DE SEPTIEMBRE EN LA LOCALIDAD DE PROGRESO ,   EN EL MUNICIPIO DE PIAXTLA ,   EN EL ESTADO DE PUEBLA",1298000,0
15,U128,PROYECTOS DE DESARROLLO REGIONAL,21,PUEBLA,19,ATLIXCO,"ADOQUINAMIENTO DE LA CALLE 20 DE NOVIEMBRE EN SAN FÉLIX HIDALGO ,   ATLIXCO EN EL ESTADO DE PUEBLA",697262,0
16,U128,PROYECTOS DE DESARROLLO REGIONAL,21,PUEBLA,19,ATLIXCO,"ADOQUINAMIENTO DE LA CALLE ANTONIO CARBAJAL EN LA COLONIA SANTA MÓNICA ,   ATLIXCO EN EL ESTADO DE PUEBLA",1463425,0
17,U128,PROYECTOS DE DESARROLLO REGIONAL,21,PUEBLA,34,CORONANGO,"ADOQUINAMIENTO DE LA CALLE BELISARIO DOMINGUEZ ENTRE CAMINO VIEJO DE LA REPUBLICA Y CALLE LA JUNTA EN SAN ANTONIO MIHUACAN ,   EN EL MUNICIPIO DE CORONANGO ,   EN EL ESTADO DE PUEBLA",1500000,0
18,U128,PROYECTOS DE DESARROLLO REGIONAL,21,PUEBLA,19,ATLIXCO,ADOQUINAMIENTO DE LA CALLE BENITO JUÁREZ EN LA LOCALIDAD DE GUADALUPE HUEXOCOAPAN DEL MUNICIPIO DE ATLIXCO EN EL ESTADO DE PUEBLA,1600588,0
19,U128,PROYECTOS DE DESARROLLO REGIONAL,21,PUEBLA,19,ATLIXCO,"ADOQUINAMIENTO DE LA CALLE BUGAMBILIA EN LAS LOMAS DE TEJALUCA ,   ATLIXCO EN EL ESTADO DE PUEBLA",2187660,0
20,U128,PROYECTOS DE DESARROLLO REGIONAL,21,PUEBLA,19,ATLIXCO,"ADOQUINAMIENTO DE LA CALLE CORREGIDORA ENTRE CALLE CUAUHTÉMOC Y CALLE LÁZARO CÁRDENAS ,   ATLIXCO EN EL ESTADO DE PUEBLA",621298,0
21,U128,PROYECTOS DE DESARROLLO REGIONAL,21,PUEBLA,19,ATLIXCO,"ADOQUINAMIENTO DE LA CALLE DEL RÍO EN LA COLONIA VALLE SUR ,   ATLIXCO EN EL ESTADO DE PUEBLA",1463440,0
22,U128,PROYECTOS DE DESARROLLO REGIONAL,21,PUEBLA,51,CHIETLA,"ADOQUINAMIENTO DE LA CALLE GALEANA ENTRE LA CALLE MIGUEL HIDALGO Y BENITO JUAREZ ,   EN EL MUNICIPIO DE CHIETLA ,   EN EL ESTADO DE PUEBLA",320000,0
23,U128,PROYECTOS DE DESARROLLO REGIONAL,21,PUEBLA,19,ATLIXCO,"ADOQUINAMIENTO DE LA CALLE INDEPENDENCIA EN LA COLONIA BUGAMBILIAS DE LA LOCALIDAD DE SANTO DOMINGO ATOYATEMPAN ,   MUNICIPIO DE ATLIXCO EN EL ESTADO DE PUEBLA",1121537,0
24,U128,PROYECTOS DE DESARROLLO REGIONAL,21,PUEBLA,113,PIAXTLA,"ADOQUINAMIENTO DE LA CALLE JOSE MARIA MORELOS EN LA LOCALIDAD DE TLAXCUAPAN ,   EN EL MUNICIPIO DE PIAXTLA ,   EN EL ESTADO DE PUEBLA",1326000,0
25,U128,PROYECTOS DE DESARROLLO REGIONAL,21,PUEBLA,51,CHIETLA,"ADOQUINAMIENTO DE LA CALLE MIGUEL HIDALGO DE LA LOCALIDAD DE BUENA VISTA DE JUAREZ ,   EN EL MUNICIPIO DE CHIETLA ,   EN EL ESTADO DE PUEBLA",2560000,0
26,U128,PROYECTOS DE DESARROLLO REGIONAL,21,PUEBLA,117,RAFAEL LARA GRAJALES,ADOQUINAMIENTO DE LA CALLE NACIONAL EN LA LOCALIDAD DE GRAJALES DEL MUNICIPIO DE RAFAEL LARA GRAJALES DEL ESTADO DE PUEBLA,2000000,0
27,U128,PROYECTOS DE DESARROLLO REGIONAL,21,PUEBLA,34,CORONANGO,"ADOQUINAMIENTO DE LA CALLE PORFIRIO DÍAZ ENTRE CALLE MORELOS Y CALLE BENITO JUAREZ EN LA LOCALIDAD DE SAN FRANCISCO OCOTLAN ,   ENE L MUNICIPIO DE CORONANGO ,   EN EL ESTADO DE PUEBLA",2800000,0
28,U128,PROYECTOS DE DESARROLLO REGIONAL,21,PUEBLA,113,PIAXTLA,"ADOQUINAMIENTO DE LA CALLE VICENTE GUERRERO EN LA LOCALIDAD DE TECUAUTITLAN ,   EN EL MUNICIPIO DE PIAXTLA ,   EN EL ESTADO DE PUEBLA",1376000,0
29,U128,PROYECTOS DE DESARROLLO REGIONAL,21,PUEBLA,105,OCOTEPEC,ADOQUINAMIENTO EN CALLE REAL EN LA LOCALIDAD DE OCOTEPEC DEL MUNICIPIO DE OCOTEPEC DEL ESTADO DE PUEBLA,2000000,0
30,U128,PROYECTOS DE DESARROLLO REGIONAL,21,PUEBLA,115,QUECHOLAC,"ADOQUINAMIENTO EN LA CALLE 5 SUR ENTRE CALLES 7 Y 11 PONIENTE EN LA LOCALIDAD DE QUECHOLAC ,   MUNICIPIO DE QUECHOLAC ,   PUEBLA",2000000,0
31,U128,PROYECTOS DE DESARROLLO REGIONAL,16,MICHOACÁN,65,PARACHO,"AGUA POTABLE Y ALCANTARILLADO EN LA CALLE ARROYO SECO ENTRE XICOTÉNCATL Y LUIS SEPÚLVEDA ,   EN PARACHO ,   MICHOACÁN",2379000,0
32,U128,PROYECTOS DE DESARROLLO REGIONAL,8,CHIHUAHUA,37,JUÁREZ,"ALUMBRADA PUBLICO DEPORTIVO  "" CENTENARIO DE LA CONSTITUCION "" . COL. 16 DE SEPTIEMBRE  ,   EN EL MUNICIPIO DE JUÁREZ ,   EN EL ESTADO DE CHIHUAHUA",448959,0
33,U128,PROYECTOS DE DESARROLLO REGIONAL,16,MICHOACÁN,45,JIQUILPAN,"ALUMBRADO CALLE FCO. SARABIA ,   EN EL MUNICIPIO DE JIQUILPAN ,   EN EL ESTADO DE MICHOACÁN",900000,0
34,U128,PROYECTOS DE DESARROLLO REGIONAL,21,PUEBLA,10,AJALPAN,ALUMBRADO DE SALÓN DE USOS MULTIPLES EN BARRIO COCULCO EN AJALPAN EN EL ESTADO DE PUEBLA,2000000,0
35,U128,PROYECTOS DE DESARROLLO REGIONAL,17,MORELOS,7,CUERNAVACA,"AMPLIACIÓN DE AYUDANTÍA MUNICIPAL EN TLALTENANGO ,   CUERNAVACA MORELOS.",1000000,0
36,U128,PROYECTOS DE DESARROLLO REGIONAL,11,GUANAJUATO,22,OCAMPO,"AMPLIACION DE LA LINEA ELECTRICA ,   EN LA COMUNIDAD DE SAN ELIAS ,   CALLE JOSE MARIA MORELOS ,   EN EL MUNICIPIO DE OCAMPO ,   EN EL ESTADO DE GUANAJUATO",890431,0
37,U128,PROYECTOS DE DESARROLLO REGIONAL,11,GUANAJUATO,22,OCAMPO,"AMPLIACION DE LA LINEA ELECTRICA ,   EN LA COMUNIDAD DE SANTA BARBARA ,   CALLE ALLENDE Y BENITO JUAREZ  ,   EN EL MUNICIPIO DE OCAMPO ,   EN EL ESTADO DE GUANAJUATO",797569,0
38,U128,PROYECTOS DE DESARROLLO REGIONAL,11,GUANAJUATO,22,OCAMPO,"AMPLIACIÓN DE LA LÍNEA ELÉCTRICA ,   EN LA COMUNIDAD DEL PUERQUITO ,   CALLE LUIS DONALDO COLOSIO  ,   EN EL MUNICIPIO DE OCAMPO ,   EN EL ESTADO DE GUANAJUATO",1390000,0
39,U128,PROYECTOS DE DESARROLLO REGIONAL,27,TABASCO,15,TACOTALPA,"AMPLIACIÓN DE LA RED DE AGUA POTABLE DEL EJIDO LA CUMBRE EN EL MUNICIPIO DE TACOTALPA ,   TABASCO",7951154,0
40,U128,PROYECTOS DE DESARROLLO REGIONAL,7,CHIAPAS,25,CHAPULTENANGO,"AMPLIACION DE LA RED DE AGUA POTABLE EN LA CABECERA MUNICIPAL ,   EN EL MUNICIPIO DE CHAPULTENANGO ,   EN EL ESTADO DE CHIAPAS",4387690,0
41,U128,PROYECTOS DE DESARROLLO REGIONAL,20,OAXACA,277,VILLA SOLA DE VEGA,"AMPLIACIÓN DE LA RED DE DISTRIBUCIÓN DE ENERGÍA ELÉCTRICA EN EL MUNICIPIO DE VILLA SOLA DE VEGA ,   EN EL ESTADO DE OAXACA",2091251,0
42,U128,PROYECTOS DE DESARROLLO REGIONAL,7,CHIAPAS,49,LARRÁINZAR,"AMPLIACION DE RED DE ENERGIA ,  ELECTRICA EN LA LOCALIDAD DE TABILHUCUM ,   EN EL MUNICIPIO DE LARRÁINZAR ,   EN EL ESTADO DE CHIAPAS",2376285,0
43,U128,PROYECTOS DE DESARROLLO REGIONAL,16,MICHOACÁN,50,MARAVATÍO,"AMPLIACIÓN DEL DRENAJE SANITARIO Y RED DE AGUA POTABLE EN LA CALLE PROLONGACIÓN PÍPILA EN LA LOCALIDAD DE MARAVATÍO DE OCAMPO ,   MUNICIPIO DE MARAVATÍO ,   MICHOACÁN",1800000,0
