"id","year","estado","estado_id","municipio","municipio_id","tomas"
"1","2000","Aguascalientes","1","Aguascalientes","","2"
"2","2000","Aguascalientes","1","Rincón De Romos","","1"
"3","2000","Aguascalientes","1","San Francisco De Romos","","1"
"4","2000","Chihuahua","8","Ciudad Jiménez","","1"
"5","2000","Chihuahua","8","Enríquez","","1"
"6","2000","Chihuahua","8","Jiménez","","2"
"7","2000","Chihuahua","8","Ojo Laguna","","1"
"8","2000","Coahuila","5","Francisco I. Madero","","4"
"9","2000","Coahuila","5","Parras De La Fuente","","7"
"10","2000","Coahuila","5","San Pedro De Las Colonias","","1"
"11","2000","Durango","10","Gómez Palacio","","2"
"12","2000","Guanajuato","11","Abasolo","","1"
"13","2000","Guanajuato","11","León","","3"
"14","2000","Guanajuato","11","Pénjamo","","3"
"15","2000","Guanajuato","11","Salamanca","","3"
"16","2000","Guanajuato","11","Santa Ana Pacueco","","2"
"17","2000","Guanajuato","11","Silao","","1"
"18","2000","Hidalgo","13","Ajacuba","","2"
"19","2000","Hidalgo","13","Atitalaquia","","3"
"20","2000","Hidalgo","13","Atotonilco De Tula","","2"
"21","2000","Hidalgo","13","Cuautepec","","1"
"22","2000","Hidalgo","13","Huichapan","","2"
"23","2000","Hidalgo","13","Nopala","","1"
"24","2000","Hidalgo","13","Pachuca","","2"
"25","2000","Hidalgo","13","San Agustín Tlaxiaca","","4"
"26","2000","Hidalgo","13","Santa Ana Ahuehuepan","","1"
"27","2000","Hidalgo","13","Santiago Tulantepec","","1"
"28","2000","Hidalgo","13","Tepeji Del Rio","","1"
"29","2000","Hidalgo","13","Tepetitlan","","2"
"30","2000","Hidalgo","13","Tetepango","","1"
"31","2000","Hidalgo","13","Tlahuelilpan","","1"
"32","2000","Hidalgo","13","Tlaxcoapan","","1"
"33","2000","Hidalgo","13","Tula","","4"
"34","2000","Hidalgo","13","Tulancingo","","1"
"35","2000","Jalisco","14","Atotonilco El Alto","","1"
"36","2000","Jalisco","14","Encarnación De Díaz","","2"
"37","2000","Jalisco","14","Lagos De Moreno","","1"
"38","2000","Jalisco","14","Tototlan","","2"
"39","2000","Jalisco","14","Zapotlanejo","","1"
"40","2000","México","15","Acolman","","1"
"41","2000","México","15","Aculco","","1"
"42","2000","México","15","Ixtlahuaca","","1"
"43","2000","México","15","Jilotepec","","1"
"44","2000","México","15","Otumba","","2"
"45","2000","México","15","Polotitlan","","1"
"46","2000","México","15","Soapayuca","","1"
"47","2000","México","15","Tlanepantla","","1"
"48","2000","México","15","Tultitlan","","1"
"49","2000","Nuevo León","19","Montemorelos","","1"
"50","2000","Oaxaca","20","Acatlán De Pérez Figueroa","","2"
"51","2000","Oaxaca","20","San Juan Guichicovi","","1"
"52","2000","Oaxaca","20","Santa María Petapa","","1"
"53","2000","Puebla","21","Acajete","","3"
"54","2000","Puebla","21","Acatzingo","","2"
"55","2000","Puebla","21","Esperanza","","1"
"56","2000","Puebla","21","Palmar De Bravo","","2"
"57","2000","Puebla","21","Quecholac","","2"
"58","2000","Puebla","21","San Matías Tlalancaleca","","1"
"59","2000","Puebla","21","San Pedro Tlaltenango","","1"
"60","2000","Puebla","21","Santa María Coronango","","1"
"61","2000","Puebla","21","Tepeaca","","2"
"62","2000","Querétaro","22","Corregidora","","2"
"63","2000","Querétaro","22","Huimilpan","","3"
"64","2000","Querétaro","22","Pedro Escobedo","","2"
"65","2000","Sinaloa","25","Guasave","","2"
"66","2000","Sinaloa","25","Topolobampo","","1"
"67","2000","Tabasco","27","Cárdenas","","1"
"68","2000","Tamaulipas","28","Altamira","","1"
"69","2000","Tamaulipas","28","Cd. Victoria","","2"
"70","2000","Tamaulipas","28","González","","3"
"71","2000","Tamaulipas","28","Llera De Canales","","2"
"72","2000","Tamaulipas","28","Tampico","","1"
"73","2000","Tamaulipas","28","Llera De Canales","","1"
"74","2000","Veracruz","30","Acayucan","","1"
"75","2000","Veracruz","30","Chinameca","","2"
"76","2000","Veracruz","30","Coatzacoalcos","","1"
"77","2000","Veracruz","30","Cuichapa","","2"
"78","2000","Veracruz","30","Jaltipan","","1"
"79","2000","Veracruz","30","Matatenatito","","1"
"80","2000","Veracruz","30","Medellín De Bravo","","2"
"81","2000","Veracruz","30","Omealca","","3"
"82","2000","Veracruz","30","Rodríguez Clara","","1"
"83","2000","Veracruz","30","Tierra Blanca","","8"
"84","2000","Veracruz","30","Tlalixcoyan","","1"
"85","2000","Veracruz","30","Tres Valles","","2"
"86","2000","Veracruz","30","Tuxpan","","1"
"87","2000","Veracruz","30","Villa Azueta","","1"
"88","2000","Zacatecas","32","Los Pinos","","1"
"89","2000","Zacatecas","32","Luis Moya","","2"
"90","2000","Zacatecas","32","Ojo Caliente","","2"
"91","2001","Aguascalientes","1","Aguascalientes","","1"
"92","2001","Aguascalientes","1","San Francisco De Los Romos","","1"
"93","2001","Chihuahua","8","Chihuahua","","1"
"94","2001","Coahuila","5","Francisco I. Madero","","2"
"95","2001","Coahuila","5","Matamoros","","1"
"96","2001","Coahuila","5","Parras De La Fuente","","3"
"97","2001","Coahuila","5","San Pedro De Las Colonias","","3"
"98","2001","Durango","10","Gómez Palacio","","4"
"99","2001","Guanajuato","11","Abasolo","","1"
"100","2001","Guanajuato","11","Apaseo El Alto","","1"
"101","2001","Guanajuato","11","Celaya","","7"
"102","2001","Guanajuato","11","Guanajuato","","1"
"103","2001","Guanajuato","11","Irapuato","","1"
"104","2001","Guanajuato","11","León","","3"
"105","2001","Guanajuato","11","Salamanca","","2"
"106","2001","Guanajuato","11","San Luis De La Paz","","1"
"107","2001","Guanajuato","11","Yuriria","","1"
"108","2001","Hidalgo","13","Pachuca","","2"
"109","2001","Hidalgo","13","San Agustín Tlaxiaca","","1"
"110","2001","Hidalgo","13","Tetepango","","2"
"111","2001","Hidalgo","13","Tula","","3"
"112","2001","Jalisco","14","Lagos De Moreno","","3"
"113","2001","Jalisco","14","Tala","","2"
"114","2001","Jalisco","14","Unión De San Antonio","","1"
"115","2001","Jalisco","14","Zapotlanejo","","1"
"116","2001","México","15","Acolman","","1"
"117","2001","México","15","Ixtlahuaca","","1"
"118","2001","México","15","Tepetlaoxtoc","","1"
"119","2001","Nuevo León","19","García","","1"
"120","2001","Nuevo León","19","Linares","","1"
"121","2001","Oaxaca","20","Acatlán De Pérez Figueroa","","1"
"122","2001","Oaxaca","20","Asunción De Ixtaltepec","","3"
"123","2001","Oaxaca","20","Espinal","","1"
"124","2001","Puebla","21","Acatzingo","","1"
"125","2001","Puebla","21","Amozoc De Mota","","1"
"126","2001","Puebla","21","Huauchinango","","1"
"127","2001","Puebla","21","Huejotzingo","","2"
"128","2001","Puebla","21","Palmar De Bravo","","1"
"129","2001","Puebla","21","Puebla","","2"
"130","2001","Puebla","21","Quecholac","","1"
"131","2001","Puebla","21","Santa María Coronango","","1"
"132","2001","Puebla","21","Tepeaca","","4"
"133","2001","San Luis Potosí","24","La Enramada","","1"
"134","2001","San Luis Potosí","24","San Luis Potosí","","1"
"135","2001","Sinaloa","25","Ahome","","1"
"136","2001","Sinaloa","25","Guasave","","1"
"137","2001","Tabasco","27","Huimanguillo","","5"
"138","2001","Tamaulipas","28","Altamira","","5"
"139","2001","Tamaulipas","28","Cd. Madero","","1"
"140","2001","Tamaulipas","28","Cd. Victoria","","2"
"141","2001","Tamaulipas","28","González","","3"
"142","2001","Tamaulipas","28","Llera De Canales","","1"
"143","2001","Tamaulipas","28","Villa González","","3"
"144","2001","Veracruz","30","Angostura","","1"
"145","2001","Veracruz","30","Chacaltianguis","","4"
"146","2001","Veracruz","30","Chinameca","","1"
"147","2001","Veracruz","30","Cosamaloapan","","1"
"148","2001","Veracruz","30","Cosoleacaque","","1"
"149","2001","Veracruz","30","Cuichapa","","1"
"150","2001","Veracruz","30","Los Robles","","1"
"151","2001","Veracruz","30","Medellín De Bravo","","2"
"152","2001","Veracruz","30","Omealca","","1"
"153","2001","Veracruz","30","Otapa","","2"
"154","2001","Veracruz","30","Piedras Negras","","1"
"155","2001","Veracruz","30","Rafael Delgado","","1"
"156","2001","Veracruz","30","Tierra Blanca","","8"
"157","2001","Veracruz","30","Tlalixcoyan","","3"
"158","2001","Veracruz","30","Villa Azueta","","2"
"159","2001","Veracruz","30","Villa Isla","","2"
"160","2001","Zacatecas","32","Ojo Caliente","","1"
"161","2001","Zacatecas","32","Zacatecas","","2"
"162","2002","Aguascalientes","1","Aguascalientes","","1"
"163","2002","Aguascalientes","1","Rincón De Romos","","1"
"164","2002","Aguascalientes","1","San Francisco De Los Romo","","1"
"165","2002","Chihuahua","8","Cd. Camargo","","3"
